genes	PR_L1	PR_L2	PR_L3	PR_L4	PR_L5	PR_L6	PR_L7	PR_L8	PR_L9	Rank_L1	Rank_L2	Rank_L3	Rank_L4	Rank_L5	Rank_L6	Rank_L7	Rank_L8	Rank_L9	WPR	RankWPR	Best	BestPR_rank
6256	8.90439779726097e-05	7.1522093578188e-05	7.13786157605118e-05	7.92891505756679e-05	7.79431178332121e-05	6.84905174912074e-05	8.78710333510995e-05	7.00296564184787e-05	7.04836510682974e-05	725	1981	1993	1691	1720	3917	767	2210	2100	7.62682171336131e-05	116	725	58
6095	8.85228233533268e-05	7.02819482329826e-05	9.56762165372901e-05	7.40785887312718e-05	7.27489725411363e-05	7.09801749075719e-05	8.87365199139324e-05	0.000104698654349549	0.000103057804392889	749	2145	570	1845	1909	2036	738	446	469	8.54695701358837e-05	57	446	26
5989	9.03613446501062e-05	7.05201143510433e-05	7.11537780294476e-05	7.81660474950305e-05	7.49191393126638e-05	7.49337140431686e-05	9.23821692436124e-05	6.99658142119093e-05	7.00447734851248e-05	680	2089	2018	1716	1817	1815	623	2236	2206	7.70290169438447e-05	107	623	38
5966	8.65485025605652e-05	7.01624373575454e-05	7.02507472633967e-05	7.2583848577739e-05	7.14656474548112e-05	6.89068859629121e-05	9.27517494476284e-05	6.96202745096967e-05	6.98682940478075e-05	816	2173	2153	1918	1985	3528	618	2924	2278	7.4780197350264e-05	137	618	54
5916	8.32244683535971e-05	6.95327469918332e-05	6.97449350230336e-05	6.67421019646676e-05	6.64447348303145e-05	6.31751834137236e-05	8.61324689510387e-05	6.88200199067292e-05	6.96168022043431e-05	1326	3165	2488	4122	4348	4933	864	3580	2989	7.15824354003491e-05	269	864	135
5914	8.35196380524935e-05	6.97623617589563e-05	6.99450040664808e-05	6.79696883218733e-05	6.79030181240974e-05	6.32989699892921e-05	8.71731113317851e-05	6.91026210384795e-05	6.97605629962843e-05	1291	2482	2246	3935	3938	4919	790	3504	2483	7.2132651609743e-05	206	790	124
5468	9.72852352177944e-05	7.38648172665376e-05	7.41897369334422e-05	9.20453585293677e-05	9.16559749964166e-05	8.02974141975415e-05	9.51720654880606e-05	7.42109363385173e-05	7.13454310631189e-05	547	1860	1839	633	646	1664	576	1836	1995	8.33628220441203e-05	62	547	13
5460	8.51869022896302e-05	7.00493227763532e-05	7.03622883578201e-05	7.0013155152793e-05	7.02942125621194e-05	6.80895820596738e-05	8.87400149529973e-05	6.95242007243121e-05	6.98432447672098e-05	1230	2203	2132	2217	2144	3930	737	3222	2299	7.36584782200507e-05	164	737	60
5451	9.50712914715064e-05	7.23762552789197e-05	7.28850022603119e-05	8.5643644002306e-05	7.92971276098714e-05	8.87852719014454e-05	0.000105491330131226	7.11063464726281e-05	7.04950377980184e-05	579	1932	1902	1099	1689	734	433	2019	2096	8.24876077647316e-05	68	433	23
3651	8.2937048294867e-05	0	6.96263687905889e-05	0	6.62804681160355e-05	6.2838920123479e-05	8.55240556777895e-05	0	6.95988676568461e-05	1409	5362	2898	5362	4661	4983	1191	5362	3098	4.89394888705323e-05	885	1191	306
5087	8.76899699352517e-05	7.025992411586e-05	7.05474329525513e-05	7.1461672852592e-05	7.03795296795473e-05	6.59360479275041e-05	8.73490780954833e-05	6.94393413907902e-05	6.98464608862059e-05	774	2150	2081	1987	2127	4868	784	3426	2293	7.3739314165046e-05	161	774	81
5080	8.56883790631209e-05	7.00242718812771e-05	7.02137393306904e-05	6.9796234813355e-05	7.03775969629007e-05	6.90127020607773e-05	8.83982851027321e-05	6.96267906672451e-05	6.99097182128752e-05	1079	2212	2162	2355	2129	3515	753	2866	2261	7.37671119396267e-05	160	753	53
23598	8.75425312475806e-05	7.03776964877899e-05	7.00312306552279e-05	7.18156623226534e-05	7.0259279338072e-05	6.59679012840202e-05	9.04622154650709e-05	6.96313258581358e-05	6.98389443036705e-05	779	2128	2209	1961	2152	4865	676	2836	2303	7.40823721687281e-05	148	676	80
4306	8.28482120668056e-05	6.95294006494963e-05	6.98050076310941e-05	6.65298215878226e-05	6.68457341567458e-05	6.2489151952262e-05	0	6.87380231530332e-05	6.96462380769871e-05	1515	3215	2339	4303	4090	5168	5362	3819	2784	6.16633372580772e-05	607	1515	306
2908	8.73682872989095e-05	7.05177466263252e-05	7.06557611461209e-05	7.40439985167812e-05	7.60920778134761e-05	6.90457279708953e-05	9.17551928211607e-05	6.99242473063214e-05	7.4067841553359e-05	782	2090	2069	1848	1775	3510	642	2259	1847	7.60150399421293e-05	121	642	52
7026	8.51862208011872e-05	7.01641353866986e-05	7.02146088567631e-05	6.93228439007144e-05	7.02213671959818e-05	6.9129686707337e-05	9.18599536885895e-05	6.94698382298178e-05	6.98546136190637e-05	1231	2172	2161	3482	2159	3500	637	3404	2287	7.40422357854735e-05	150	637	51
7025	8.68575905854881e-05	6.99006274584576e-05	7.03203533715556e-05	7.33500974640099e-05	7.23750924635282e-05	6.94155888723206e-05	9.19126576017188e-05	6.94138086007431e-05	6.98546118062358e-05	801	2268	2140	1880	1933	3441	635	3443	2288	7.4912528953307e-05	136	635	48
4825	8.468431087404e-05	6.98587768572068e-05	7.00064006907531e-05	6.76098524394157e-05	6.96773685653013e-05	6.36729554208297e-05	8.78565215546693e-05	6.92064567072023e-05	6.97319160199391e-05	1239	2285	2222	3957	2710	4907	769	3492	2588	7.25643784018093e-05	190	769	113
4824	8.46851075672603e-05	6.96754578701252e-05	7.00151952498033e-05	6.82662070228994e-05	6.7355767031443e-05	6.53041841632278e-05	8.82069776387529e-05	6.90847097258091e-05	6.96736346000905e-05	1238	2712	2215	3922	3978	4878	762	3507	2718	7.25713385408661e-05	189	762	89
4802	8.6697039597414e-05	7.00468519760784e-05	7.02595039779638e-05	7.1865705908193e-05	6.87257588324143e-05	6.91432011931982e-05	8.82245822550399e-05	6.93380415921137e-05	6.98177119771811e-05	807	2205	2151	1957	3821	3496	757	3480	2321	7.38868014439736e-05	156	757	56
4801	8.40178953474257e-05	6.99986374655081e-05	7.00687082294428e-05	6.91378212448512e-05	6.96471036879473e-05	6.76730228293454e-05	8.83974011263799e-05	6.92625887220203e-05	6.97799186684802e-05	1264	2224	2199	3497	2779	3954	754	3489	2403	7.32008283890877e-05	176	754	66
4784	8.28481589451395e-05	6.94844403703484e-05	6.9745096545388e-05	6.65691398590439e-05	6.64432415210921e-05	6.26800071180385e-05	8.55237346114078e-05	0	6.95987447879283e-05	1540	3361	2487	4246	4361	5028	1193	5362	3099	6.37788574381569e-05	506	1193	306
4783	8.58528107766163e-05	6.98855870919794e-05	7.01577112769171e-05	6.90204514616358e-05	7.01828164006732e-05	6.51888884582301e-05	9.02815228052824e-05	6.97153919168108e-05	7.69569272219699e-05	957	2274	2176	3513	2170	4880	683	2669	1751	7.42301625143884e-05	145	683	91
4782	8.92315140469499e-05	7.04557646561131e-05	7.06339780812803e-05	7.54944440870057e-05	7.28514081773346e-05	6.93470537307681e-05	9.09918986667283e-05	6.99736528904998e-05	6.98836616278493e-05	719	2106	2071	1795	1905	3479	663	2232	2276	7.5513303300779e-05	128	663	49
4779	8.6746268037084e-05	7.06349115230764e-05	7.09239034259004e-05	7.42541587118119e-05	7.36214870978141e-05	6.85885808547188e-05	8.73483522069851e-05	7.02028292839584e-05	7.01085653807513e-05	805	2070	2048	1834	1866	3914	785	2167	2192	7.4780167250736e-05	138	785	57
4778	8.48564169142373e-05	7.03365310920494e-05	7.05754273332981e-05	7.28150304721188e-05	7.15699927613374e-05	6.73560441916519e-05	8.82105919787205e-05	6.98423867130343e-05	6.99556539077117e-05	1236	2139	2077	1906	1974	3976	760	2300	2239	7.40183583111728e-05	151	760	68
4772	8.3849817039962e-05	6.97679909291387e-05	6.98265122633586e-05	6.82207812048616e-05	6.80910736578592e-05	6.44260221580791e-05	8.82154313762023e-05	6.88987138935056e-05	6.96925757296208e-05	1273	2406	2309	3924	3929	4893	759	3529	2702	7.24222634824896e-05	196	759	102
4602	8.63606774024939e-05	7.01602522389128e-05	7.04156393354496e-05	6.93628027866843e-05	7.09722755014379e-05	6.78338323344297e-05	8.87487125450471e-05	6.96214744503678e-05	6.99315148958359e-05	830	2174	2117	3477	2037	3944	736	2923	2250	7.38060898662964e-05	159	736	64
4601	0.000106426381315307	7.6700668481465e-05	7.47720533810434e-05	0.000121017742784906	0.000106028477289802	0.00010255615234646	0.000105057547003705	7.47615901896986e-05	7.14724124364057e-05	421	1757	1824	316	428	472	440	1825	1984	9.31840707095872e-05	41	316	10
4208	8.31820983503543e-05	6.95305848497987e-05	6.99511818775309e-05	6.70789963521334e-05	6.72035621885494e-05	6.31605124400109e-05	8.59534310910354e-05	6.87907681163786e-05	6.96457885013973e-05	1351	3203	2243	4019	3993	4941	919	3657	2789	7.16960964518115e-05	248	919	143
4205	9.7512756804276e-05	7.12769978029662e-05	7.21179761832491e-05	7.86697608778311e-05	7.93480979361274e-05	7.58848201461738e-05	0.000102436390404098	7.04930750066359e-05	7.01519224527362e-05	542	2006	1946	1705	1684	1780	476	2097	2179	7.98910842354247e-05	80	476	31
4005	8.6710607050925e-05	6.98632447706674e-05	6.99711849793877e-05	6.92097806364331e-05	6.90926661176203e-05	6.69520397533752e-05	9.06384783292826e-05	6.94791362561064e-05	6.98148688845332e-05	806	2284	2233	3491	3505	4040	672	3402	2322	7.36310711573935e-05	167	672	70
8022	8.38492597578261e-05	6.95768746990867e-05	6.98648022483904e-05	6.6851509446016e-05	6.77434185667864e-05	0.000280715638560804	8.71647212758076e-05	6.8975193215564e-05	6.97024031253768e-05	1274	3127	2282	4082	3947	52	791	3521	2679	9.6766858735411e-05	36	52	71
51176	8.36939936103525e-05	6.96260314130713e-05	6.98491090244823e-05	6.77586276917985e-05	6.67171156051345e-05	6.32178481698108e-05	8.7013403972328e-05	6.89786463412422e-05	6.96832619550825e-05	1280	2913	2289	3946	4155	4928	795	3519	2709	7.19265651566078e-05	218	795	132
11278	8.73575151293066e-05	7.05052702824188e-05	7.04767529884964e-05	7.50049687002417e-05	7.39223761231237e-05	7.0478538473565e-05	8.90820844867951e-05	6.97822406443568e-05	7.00706051319395e-05	783	2094	2103	1813	1857	2102	723	2402	2198	7.52614840452312e-05	130	723	42
3727	8.80266244480826e-05	7.07409875144881e-05	7.04586697738361e-05	7.60511488814173e-05	7.49073755859506e-05	7.31115008035615e-05	9.10278640887729e-05	7.04496168441872e-05	7.00964477995048e-05	765	2060	2105	1776	1818	1890	662	2108	2193	7.61790266570827e-05	118	662	35
3726	8.98689834066575e-05	7.06069988364796e-05	7.04356661377028e-05	7.39160339667398e-05	7.48784428578158e-05	6.95296804279881e-05	9.56708313628176e-05	6.99854420807071e-05	7.01527526752687e-05	698	2073	2111	1859	1820	3210	571	2229	2177	7.62151101948443e-05	117	571	46
3665	8.45187281614968e-05	7.04487023358102e-05	7.02136732228802e-05	7.12944010130738e-05	7.16371613127613e-05	6.65977817463974e-05	8.82091860261753e-05	6.93609206858616e-05	6.98464403352548e-05	1243	2109	2163	1999	1967	4190	761	3478	2294	7.36441883219745e-05	166	761	73
3662	8.28483231245138e-05	6.96233959240888e-05	6.98074537039101e-05	6.77058227562189e-05	6.71849592153084e-05	6.3161110546483e-05	8.64715728852583e-05	6.88949600667703e-05	6.97112081477871e-05	1502	2921	2330	3948	4000	4940	827	3532	2674	7.1795641860432e-05	232	827	142
3661	8.33520638015424e-05	6.95346298010128e-05	0	6.62977810146673e-05	6.6936748295958e-05	6.26933132891047e-05	8.56066212734591e-05	6.88724971266462e-05	6.96446138025906e-05	1314	3161	5362	4563	4041	5022	1108	3544	2796	6.37767882973673e-05	507	1108	306
3298	8.38527452384141e-05	6.98128890471736e-05	7.00528239003853e-05	6.90196031869045e-05	6.99926506360495e-05	6.53194360318248e-05	8.87225064403724e-05	6.91032196392864e-05	6.96942797621126e-05	1272	2325	2202	3514	2227	4877	742	3503	2701	7.29258954838294e-05	182	742	88
3297	8.40193534192464e-05	6.98146992420421e-05	6.99072471828574e-05	6.80594506949876e-05	6.96040785920615e-05	6.55861690704038e-05	8.6653027385805e-05	6.93179660965578e-05	6.97403018783373e-05	1263	2323	2266	3931	3084	4870	812	3483	2582	7.26072812786563e-05	188	812	82
3232	8.28481589369042e-05	6.94844334002726e-05	6.97233860724465e-05	6.62254061759631e-05	6.61540462850414e-05	0	0	6.86368041466277e-05	6.96074897948442e-05	1544	3375	2641	4755	4779	5362	5362	3910	3078	5.44029845828357e-05	764	1544	306
6927	0.000126859844727989	7.76798881665108e-05	7.55680828362743e-05	0.000131963787835078	0.000123802569201301	0.000134713101202261	0.000123295529603581	9.9792123924135e-05	0.000101276112687453	280	1729	1789	265	296	247	303	512	494	0.000110619769941194	19	247	1
3131	8.65206186220708e-05	7.03704475350834e-05	7.01947468659818e-05	7.10380081553193e-05	7.00070627326684e-05	6.48085943270085e-05	8.72069752323467e-05	0.000136439255117365	0.000113624757539186	820	2131	2168	2029	2221	4887	787	242	363	8.5611785671393e-05	56	242	96
2309	8.51832360330351e-05	7.02327329371323e-05	7.03814241477901e-05	7.31517037300032e-05	7.02188437249088e-05	6.88039156058996e-05	8.87309421577651e-05	6.9305470042232e-05	6.98188889791909e-05	1232	2158	2125	1888	2160	3615	739	3485	2320	7.40629861998986e-05	149	739	55
2308	8.26812162616228e-05	6.94842361535645e-05	6.9723386485116e-05	6.62257362249902e-05	6.62889985665967e-05	6.24024066591609e-05	8.56058738766515e-05	6.87397956820782e-05	6.96075169054878e-05	1626	3395	2636	4738	4633	5227	1164	3810	3063	7.12824739919028e-05	410	1164	305
55810	8.88577293799436e-05	7.04256676259531e-05	7.04436135930719e-05	7.39820435823886e-05	7.29869441907638e-05	7.00144767947724e-05	8.89074324237064e-05	6.96765069965561e-05	6.98453813543483e-05	732	2114	2110	1852	1898	2216	728	2711	2296	7.50998115638901e-05	132	728	44
2354	8.78584868342107e-05	7.06035093460086e-05	7.06605236003166e-05	0.000153593242766492	0.00051919545241086	0.000362556384315799	0.000750360939281809	0.000492477352687846	0.000192901734409379	768	2074	2068	187	9	27	5	11	112	0.000300836809494139	2	5	18
2118	8.35212185673911e-05	6.96497281799545e-05	6.98885274829726e-05	6.77046037037557e-05	6.71787807780502e-05	6.29133225846548e-05	8.61258438202101e-05	6.8871949915771e-05	6.9664842607468e-05	1289	2756	2272	3949	4005	4969	874	3545	2732	7.18080925588564e-05	231	874	163
2114	8.35284486952403e-05	6.96513893473754e-05	6.98482874171549e-05	6.75560119407579e-05	6.72738633145975e-05	6.47743935904475e-05	8.59580962309714e-05	6.89249700133296e-05	9.61427207762852e-05	1287	2755	2291	3961	3987	4888	905	3526	562	7.49344868566931e-05	135	562	97
2113	8.41060079056075e-05	6.98075656437015e-05	7.04021154179759e-05	6.99740011144511e-05	6.90207111035374e-05	6.45530438021487e-05	8.80497126301768e-05	6.92833988092548e-05	8.98991208327079e-05	1258	2329	2118	2231	3512	4891	764	3487	696	7.50873350025071e-05	133	696	100
2099	8.26812428338121e-05	6.95067259045055e-05	6.97236144433473e-05	6.63787931450369e-05	6.64257131976923e-05	6.24027023801724e-05	8.56059045069271e-05	9.21733546960019e-05	6.96173425243959e-05	1610	3314	2607	4506	4410	5214	1152	629	2957	7.39081218121744e-05	154	629	295
2034	8.3182019391865e-05	6.96040986338913e-05	6.98036925374774e-05	6.66883421149528e-05	6.71620148645119e-05	6.3447729968656e-05	8.59540336112297e-05	6.88681835545722e-05	6.96359696367499e-05	1353	3083	2351	4177	4009	4912	911	3549	2822	7.16817330723374e-05	251	911	117
2033	9.01165602903945e-05	7.13153079759163e-05	7.12668756109174e-05	7.85775724584964e-05	7.76122649515358e-05	7.4027762324645e-05	9.17828712635744e-05	7.02035869176107e-05	7.01360328101956e-05	691	1996	2008	1708	1731	1849	638	2164	2186	7.73009826551798e-05	102	638	33
1960	8.99255483787137e-05	7.10169189052366e-05	7.09814452304022e-05	7.94369902704182e-05	7.62476595545631e-05	7.62146413052998e-05	9.23772160065313e-05	7.02749367087646e-05	7.02779965509589e-05	694	2031	2035	1681	1770	1773	626	2147	2146	7.7500479162141e-05	97	626	27
1959	9.0790164729523e-05	7.04994977352766e-05	7.03822772509903e-05	7.41870458805637e-05	7.18979726959196e-05	7.06215751219023e-05	9.17487643728204e-05	6.98368062162745e-05	6.99972553586222e-05	668	2095	2124	1841	1955	2072	643	2304	2225	7.56537684295911e-05	127	643	41
1879	8.98713125113855e-05	7.07407203671862e-05	7.12864119473835e-05	7.5126861620332e-05	7.48630968485618e-05	6.75940489532459e-05	9.28782648720741e-05	6.98141904548793e-05	7.001163395379e-05	697	2061	2004	1808	1821	3959	616	2324	2219	7.58791535357154e-05	122	616	67
144455	8.89030286378607e-05	7.19359875676022e-05	7.15366112267089e-05	7.85625416795703e-05	8.00848431818399e-05	7.1047790235903e-05	9.1683382685628e-05	7.09911483790982e-05	7.05271109492353e-05	729	1952	1979	1710	1667	2028	645	2034	2088	7.73055329863553e-05	101	645	22
1876	9.12707025924393e-05	7.13643717501847e-05	7.15369845006052e-05	8.13279800672369e-05	7.71851714045161e-05	7.12973787977501e-05	9.32936517209283e-05	7.12788632870069e-05	7.05364585045016e-05	655	1994	1977	1652	1743	1997	608	2005	2086	7.77415292166416e-05	96	608	21
1871	9.50672331248181e-05	7.12944359158032e-05	7.12751906837734e-05	7.64597759362812e-05	7.78853696835659e-05	7.4484402477215e-05	9.65695389221862e-05	7.03431903365254e-05	7.03037458137682e-05	580	1998	2007	1767	1722	1828	554	2137	2142	7.82976689866203e-05	89	554	25
1649	8.80498919616235e-05	7.00225083487969e-05	7.00751444542999e-05	7.30935036564778e-05	7.00008517593435e-05	6.46825878520441e-05	8.8550298798321e-05	6.96244287200538e-05	6.98842661448327e-05	763	2213	2195	1892	2223	4889	748	2918	2275	7.38549648239517e-05	157	748	98
1499	9.81654246318261e-05	7.18266134777573e-05	7.15236989837595e-05	8.76312989041459e-05	8.49583809991235e-05	9.64458755878204e-05	0.000116748117428187	0.000111475407136906	9.50879805506803e-05	533	1958	1980	776	1235	556	348	380	578	9.28000911276062e-05	42	348	9
