genes	PR_L1	PR_L2	PR_L3	PR_L4	PR_L5	PR_L6	PR_L7	PR_L8	PR_L9	Rank_L1	Rank_L2	Rank_L3	Rank_L4	Rank_L5	Rank_L6	Rank_L7	Rank_L8	Rank_L9	WPR	RankWPR	Best	BestPR_rank
7391	0.000120778368327454	8.01514742029916e-05	7.69610570469997e-05	0.000120246005885439	0.000126139994305509	0.000121570643673765	0.000116171220559921	7.86460385587184e-05	7.41308891683842e-05	318	1665	1750	322	284	313	352	1706	1844	0.000101688485324704	27	284	3
6774	8.84511194880458e-05	7.10693680461425e-05	7.11015090268204e-05	7.61722029333441e-05	7.95128836515157e-05	7.76175450672637e-05	9.12563758165719e-05	7.10657444225915e-05	7.03810110544849e-05	751	2023	2020	1774	1678	1730	656	2025	2126	7.74838611128406e-05	98	656	24
4609	8.85801114281991e-05	7.0145266796932e-05	7.05920425698666e-05	7.19037816801164e-05	7.27020889491816e-05	6.55805668250765e-05	9.44671993543096e-05	9.12771572558155e-05	6.98640246419912e-05	746	2182	2076	1954	1911	4871	590	654	2283	7.73182163356073e-05	99	590	83
3725	0.000103746546593492	7.31000428092579e-05	7.27303065347988e-05	9.20335677858995e-05	9.4459554846935e-05	8.93049589301898e-05	9.98946121954291e-05	7.2597364815243e-05	8.28439819205712e-05	458	1891	1910	634	591	717	510	1915	1562	8.68163533019737e-05	51	458	5
2353	9.32224894180686e-05	7.19671759603212e-05	7.18197983193893e-05	9.04764359491279e-05	0.000396207656106681	0.00018987587015379	0.000311927293289779	0.0002716106674563	0.00018443943147735	611	1951	1960	675	22	120	40	57	134	0.000186664161174884	5	22	8
7528	0.000103830414827731	7.32378918452155e-05	7.4213630482449e-05	0.000100927709716625	9.66454898871653e-05	9.44417082046133e-05	0.00012338300300659	7.5375647609527e-05	7.13809130610041e-05	455	1884	1835	499	553	592	302	1800	1992	9.04954064306382e-05	46	302	12
6776	9.13306652771497e-05	7.04898614282869e-05	7.03708209349818e-05	7.31266758490262e-05	7.34828623691299e-05	7.3376789764066e-05	9.13348545377666e-05	7.011569422663e-05	7.01220031580972e-05	653	2098	2130	1889	1876	1879	652	2190	2188	7.60815986888258e-05	119	652	34
6722	9.28652988178829e-05	7.12906129394336e-05	7.11751184634147e-05	7.72182108987853e-05	7.84580329021428e-05	7.39700057384944e-05	9.50050261428619e-05	7.07872544968077e-05	7.02028649123023e-05	617	2003	2015	1741	1712	1854	582	2055	2166	7.79792873019673e-05	92	582	30
4800	0.000101565755453647	7.35805823720256e-05	7.40767306504094e-05	9.49934806114475e-05	9.85247931955833e-05	8.31484521224164e-05	0.000101383952604024	7.32206930822726e-05	7.10866467235349e-05	490	1871	1846	583	526	1359	493	1885	2022	8.57590598703232e-05	53	490	14
4791	8.89006339811574e-05	7.02683911334096e-05	7.02378435942577e-05	7.14914445392002e-05	7.16800850303519e-05	7.09539638663609e-05	9.3444402826492e-05	6.94995955567495e-05	7.00585819954907e-05	730	2148	2157	1983	1964	2041	605	3326	2200	7.52844843684574e-05	129	605	47
4149	0.000145590147834122	7.62330821651804e-05	7.46886773079956e-05	0.000121259805182235	0.000126389256361905	0.00011146060978069	0.000130709841239784	7.69077333263005e-05	7.26252685873759e-05	211	1772	1826	314	282	381	268	1753	1914	0.000104113403023985	25	211	4
3172	9.32830210789736e-05	7.48792437843075e-05	7.367172813895e-05	9.89379785705001e-05	0.000101798062446128	7.89679295814251e-05	0.000105186170559084	7.43038821728209e-05	7.13939674792358e-05	609	1819	1864	520	488	1697	436	1833	1991	8.58010369149429e-05	52	436	11
3091	8.4522096185011e-05	6.97644247743106e-05	7.0026933507839e-05	6.92798287582015e-05	6.82372877322678e-05	6.42419857794131e-05	8.71812085755087e-05	6.92289075460564e-05	6.97715461857778e-05	1242	2428	2211	3488	3923	4895	789	3490	2405	7.25565994078543e-05	191	789	104
2623	9.42071529336545e-05	7.14932216874803e-05	7.15643697237002e-05	7.87630097134539e-05	8.11276280845521e-05	7.3023342158964e-05	9.53253507347916e-05	7.0485524783481e-05	7.0260952385059e-05	595	1982	1975	1702	1653	1896	575	2099	2149	7.855319978497e-05	85	575	28
1958	0.000118641764447339	7.54937846746436e-05	7.44648629482897e-05	0.000116816562361844	0.000240674350818807	0.000157062935778701	0.000354343159946496	0.00020687182242495	0.000158665592357208	332	1796	1829	346	69	182	29	95	177	0.000167383402435684	6	29	2
1870	9.74163214295388e-05	7.23193756490783e-05	7.22446245017984e-05	8.16973914672477e-05	8.3445566492917e-05	7.29185467430316e-05	9.81019152033611e-05	9.71434511511975e-05	0.000106883518633607	544	1937	1942	1648	1299	1900	535	548	419	8.69645164062861e-05	50	419	6
1050	8.45643055281068e-05	6.98102105319072e-05	6.99273897520407e-05	6.95147063605991e-05	6.78748867126154e-05	7.48399560459311e-05	0.00010477658666864	0.000107289245944219	6.97139890460264e-05	1241	2327	2256	3224	3941	1822	444	416	2670	7.99571676185119e-05	79	416	62
7546	8.35163814909488e-05	7.01482923273469e-05	7.00539360146725e-05	6.90532820701153e-05	6.78908099404685e-05	6.67088466226206e-05	0.000111479450550064	0.000109197030659659	0.000134149526959189	1293	2181	2201	3509	3939	4167	379	402	253	8.70359100854412e-05	49	253	72
7709	8.3437888630468e-05	6.95118540991665e-05	6.97444676712667e-05	6.64059693032731e-05	6.6444931239944e-05	6.31931209485944e-05	0	6.87172671749502e-05	6.96075109752691e-05	1301	3225	2499	4454	4347	4930	5362	3837	3067	6.17390586323957e-05	601	1301	306
338917	8.63542447659477e-05	7.01823434452008e-05	7.03956107211573e-05	7.05298061350092e-05	7.06003601311879e-05	6.61924334275866e-05	8.90772018964454e-05	6.94318762034597e-05	6.98584403417866e-05	832	2171	2120	2087	2075	4763	724	3436	2286	7.37121054413937e-05	162	724	77
7050	8.6018979207265e-05	6.99682687323482e-05	7.02035275892998e-05	7.035123311638e-05	7.15561089900709e-05	6.49390229005231e-05	8.85527600510295e-05	6.96121016252224e-05	6.99424840120601e-05	887	2234	2165	2134	1976	4886	747	3019	2247	7.35393871957537e-05	168	747	95
6934	8.28486428275639e-05	6.95982224369151e-05	6.9846887302875e-05	6.73445295372169e-05	6.7326521793534e-05	6.34810734159894e-05	8.59638061549629e-05	6.88928629120621e-05	6.96458137812013e-05	1486	3114	2292	3979	3980	4911	897	3534	2788	7.17448182700027e-05	240	897	116
6932	8.32396700135411e-05	6.95523160299024e-05	6.97634523392629e-05	6.687968385482e-05	6.69043457579711e-05	6.33533357668576e-05	8.58570263724231e-05	6.88148998609838e-05	6.96369842970653e-05	1325	3154	2465	4061	4049	4914	954	3613	2805	7.16432968798809e-05	255	954	119
6929	9.27283621503649e-05	7.12635257506378e-05	7.11690002293207e-05	8.18877667487338e-05	7.73301105945957e-05	7.17447881909469e-05	9.23785476349496e-05	7.10188207774979e-05	7.0151838638193e-05	619	2009	2017	1643	1737	1963	625	2030	2180	7.78068423232068e-05	95	619	32
6908	8.84106015675679e-05	7.05099869332068e-05	7.09542185113115e-05	7.56087690671553e-05	7.19201407817644e-05	7.3720967794935e-05	8.97900530987462e-05	6.99295131694201e-05	7.0139149717191e-05	752	2092	2040	1787	1953	1863	705	2252	2184	7.57581009610787e-05	125	705	39
6777	8.41999468468843e-05	6.98113799299385e-05	7.00739601353336e-05	6.94142186356605e-05	6.80123442767993e-05	6.76765887619773e-05	8.82232657636818e-05	6.91611177232966e-05	6.97772153146781e-05	1253	2326	2196	3442	3933	3953	758	3493	2404	7.30239182937695e-05	179	758	65
6773	9.13691378577339e-05	7.06922562024153e-05	7.12399902534148e-05	7.57608487063303e-05	7.12906229119163e-05	7.65046416359647e-05	9.70969306281043e-05	6.98412764757664e-05	6.99865708689678e-05	651	2063	2013	1784	2002	1765	549	2301	2228	7.72192370228609e-05	104	549	40
6772	9.08655814916553e-05	7.18023231359618e-05	7.22892075103125e-05	7.86774144520409e-05	7.88951612440369e-05	7.51437117907739e-05	0.000101927228765563	7.08350939130571e-05	7.05384291384408e-05	667	1962	1940	1704	1699	1806	484	2050	2084	7.9100540972735e-05	83	484	20
6720	9.03882196989936e-05	7.10542107725156e-05	7.09506112058942e-05	7.46263089927863e-05	7.55268316873366e-05	7.40132298060182e-05	9.77554010581759e-05	7.04827384642431e-05	7.0013035566074e-05	678	2027	2043	1827	1792	1850	540	2101	2218	7.73152040964237e-05	100	540	37
6662	8.28530323902008e-05	6.95083714275451e-05	7.35719770374474e-05	6.65690280863512e-05	6.64438282239356e-05	6.32679073657141e-05	8.61315555018847e-05	6.87404354451052e-05	6.96353288279109e-05	1446	3250	1872	4247	4352	4927	865	3769	2831	7.19460270326834e-05	216	865	131
4089	8.68625167526078e-05	7.01188308683692e-05	7.03391712447007e-05	7.06621577296899e-05	7.14186140640716e-05	6.71372810461229e-05	9.03584090761301e-05	6.93327144725185e-05	6.9792092914737e-05	800	2189	2138	2067	1989	4012	681	3481	2356	7.40946553913325e-05	147	681	69
6258	8.38491803073942e-05	6.95096306933738e-05	6.97874209041149e-05	6.74265034221603e-05	6.69067984357915e-05	6.40999740729737e-05	8.66846213969152e-05	6.87676169198296e-05	6.97001638076101e-05	1275	3229	2358	3970	4047	4896	808	3671	2695	7.19509494634833e-05	214	808	105
5915	8.41869827985155e-05	6.96740753400447e-05	6.98892879853595e-05	6.82125008919081e-05	6.88267036201171e-05	6.3294113278787e-05	8.71630258976336e-05	6.89779050046727e-05	6.96659734142762e-05	1256	2717	2271	3925	3576	4922	792	3520	2728	7.22924819478557e-05	198	792	126
