sensivity	specificity	accuracy	F1	auc
0.75	0.8	0.7692	0.8	0.775
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
0.8571	0.875	0.8667	0.857142857142857	0.866071428571429
1	1	1	1	1
1	0.8	0.9231	0.941176470588235	0.9
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	0.625	0.7857	0.8	0.8125
1	0.8	0.9	0.909090909090909	0.9
0.8	0.75	0.7778	0.8	0.775
0.875	1	0.9375	0.933333333333333	0.9375
0.75	1	0.8462	0.857142857142857	0.875
0.7143	1	0.8462	0.833333333333333	0.857142857142857
1	0.875	0.9286	0.923076923076923	0.9375
1	1	1	1	1
1	1	1	1	1
0.875	1	0.9286	0.933333333333333	0.9375
0.875	1	0.9375	0.933333333333333	0.9375
1	1	1	1	1
1	1	1	1	1
0.7778	1	0.875	0.875	0.888888888888889
1	1	1	1	1
0.8571	1	0.9286	0.923076923076923	0.928571428571429
0.75	1	0.8667	0.857142857142857	0.875
0.625	1	0.8125	0.769230769230769	0.8125
0.8571	1	0.9333	0.923076923076923	0.928571428571429
0.6667	0.8333	0.7333	0.75	0.75
1	0.8571	0.9333	0.941176470588235	0.928571428571429
1	1	1	1	1
0.625	1	0.8125	0.769230769230769	0.8125
1	1	1	1	1
1	0.375	0.6875	0.761904761904762	0.6875
1	1	1	1	1
1	1	1	1	1
0.75	1	0.8571	0.857142857142857	0.875
0.7143	1	0.8333	0.833333333333333	0.857142857142857
0.75	1	0.8667	0.857142857142857	0.875
0.7778	1	0.8571	0.875	0.888888888888889
0.75	0.875	0.8125	0.8	0.8125
0.875	1	0.9167	0.933333333333333	0.9375
1	1	1	1	1
1	0.7	0.8	0.769230769230769	0.85
0.8571	1	0.9333	0.923076923076923	0.928571428571429
1	0.7778	0.8824	0.888888888888889	0.888888888888889
0.9	1	0.9444	0.947368421052632	0.95
1	1	1	1	1
0.8	1	0.9286	0.888888888888889	0.9
1	1	1	1	1
0.7143	1	0.8571	0.833333333333333	0.857142857142857
1	1	1	1	1
0.7143	1	0.8333	0.833333333333333	0.857142857142857
1	1	1	1	1
0.8571	1	0.9333	0.923076923076923	0.928571428571429
1	0.7778	0.8667	0.857142857142857	0.888888888888889
1	1	1	1	1
0.8571	1	0.9333	0.923076923076923	0.928571428571429
1	0.6	0.7778	0.8	0.8
0.8889	1	0.9375	0.941176470588235	0.944444444444444
1	1	1	1	1
0.625	1	0.7857	0.769230769230769	0.8125
1	0.875	0.9231	0.909090909090909	0.9375
0.875	1	0.9167	0.933333333333333	0.9375
