genes	WPR	RankWPR
6927	0.000110619769941194	7
1499	9.28000911276062e-05	16
4780	7.49874966320185e-05	102
7249	7.67934977414289e-05	80
8289	8.27231552029835e-05	38
8216	7.27478009837174e-05	149
6146	9.85931017634529e-05	13
841	7.22211591030924e-05	162
5290	7.72427646271454e-05	71
5157	7.22648364059689e-05	161
3572	7.1343566495371e-05	334
196528	7.08714247261733e-05	370
1029	6.47897304079495e-05	416
5728	7.92898675595574e-05	53
5624	7.57145795908464e-05	91
8312	6.65139745462528e-05	401
9223	7.31277727145015e-05	141
2243	7.13195026571948e-05	350
92	0.000110619769941194	7
7248	9.28000911276062e-05	16
