sensivity	specificity	accuracy	F1	auc
0.8889	1	0.9286	0.941176470588235	0.944444444444444
1	1	1	1	1
0.875	1	0.9231	0.933333333333333	0.9375
0.75	1	0.8667	0.857142857142857	0.875
1	1	1	1	1
1	1	1	1	1
0.6	1	0.8	0.75	0.8
1	1	1	1	1
0.875	1	0.9375	0.933333333333333	0.9375
0.875	1	0.9412	0.933333333333333	0.9375
1	0.8182	0.8889	0.875	0.909090909090909
0.8889	0.7778	0.8333	0.842105263157895	0.833333333333333
0.8333	0.8	0.8182	0.833333333333333	0.816666666666667
0.6667	1	0.875	0.8	0.833333333333333
0.7143	1	0.875	0.833333333333333	0.857142857142857
1	1	1	1	1
0.5	1	0.8	0.666666666666667	0.75
1	0.7778	0.8571	0.833333333333333	0.888888888888889
0.875	0.75	0.8125	0.823529411764706	0.8125
0.8889	1	0.9333	0.941176470588235	0.944444444444444
1	1	1	1	1
0.8571	0.8571	0.8571	0.857142857142857	0.857142857142857
1	1	1	1	1
0.875	1	0.9231	0.933333333333333	0.9375
1	0.6667	0.8333	0.857142857142857	0.833333333333333
0.8333	1	0.9231	0.909090909090909	0.916666666666667
0.9	1	0.9444	0.947368421052632	0.95
0.6667	1	0.8333	0.8	0.833333333333333
0.875	0.8571	0.8667	0.875	0.866071428571428
0.2857	1	0.6429	0.444444444444444	0.642857142857143
0.875	0.5	0.75	0.823529411764706	0.6875
0.75	0.625	0.6667	0.6	0.6875
1	0.8889	0.9412	0.941176470588235	0.944444444444444
1	1	1	1	1
0.8889	1	0.9375	0.941176470588235	0.944444444444444
1	0.875	0.9286	0.923076923076923	0.9375
0.7778	1	0.8889	0.875	0.888888888888889
1	0.8571	0.9167	0.909090909090909	0.928571428571429
0.875	0.8571	0.8667	0.875	0.866071428571428
1	1	1	1	1
1	1	1	1	1
0.7778	1	0.875	0.875	0.888888888888889
1	0.7143	0.8667	0.888888888888889	0.857142857142857
1	0.8571	0.9231	0.923076923076923	0.928571428571429
1	1	1	1	1
0.6667	1	0.8462	0.8	0.833333333333333
1	1	1	1	1
1	1	1	1	1
1	0.875	0.9375	0.941176470588235	0.9375
1	1	1	1	1
0.8333	1	0.9231	0.909090909090909	0.916666666666667
0.5714	1	0.7857	0.727272727272727	0.785714285714286
0.5	0.5714	0.5333	0.533333333333333	0.535714285714286
1	0.5714	0.7692	0.8	0.785714285714286
0.875	0.625	0.75	0.777777777777778	0.75
0.8333	1	0.9167	0.909090909090909	0.916666666666667
0.8571	1	0.9333	0.923076923076923	0.928571428571429
0.7143	0.8571	0.7857	0.769230769230769	0.785714285714286
0.6667	1	0.8125	0.8	0.833333333333333
0.6667	1	0.8571	0.8	0.833333333333333
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
0.7778	1	0.8667	0.875	0.888888888888889
1	1	1	1	1
1	1	1	1	1
0.8333	0.8889	0.8667	0.833333333333333	0.861111111111111
1	0.7778	0.875	0.875	0.888888888888889
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	0.75	0.8182	0.75	0.875
0.8571	1	0.9231	0.923076923076923	0.928571428571429
1	1	1	1	1
0.8571	0.8333	0.8462	0.857142857142857	0.845238095238095
0.6667	1	0.8235	0.8	0.833333333333333
1	0.6667	0.8333	0.857142857142857	0.833333333333333
1	0.75	0.8462	0.833333333333333	0.875
1	1	1	1	1
0.875	0.8571	0.8667	0.875	0.866071428571428
1	0.7143	0.8571	0.875	0.857142857142857
0.8571	1	0.9286	0.923076923076923	0.928571428571429
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	0.6667	0.8333	0.857142857142857	0.833333333333333
0.6	1	0.8571	0.75	0.8
