Genes	GSM2367635	GSM2367636	GSM2367637	GSM2367638	GSM2367639	GSM2367640	GSM2367641	GSM2367642	GSM2367643	GSM2367644	GSM2367645	GSM2367646	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
1	6.4168067	6.218215	5.949276	6.314201	6.3062825	6.480192	6.420822	6.525802	6.229961	6.244468	6.403099	6.4955964	6.2386975	6.3638163	6.122162	6.2396674	6.2115474	6.3986077	6.3359923	6.0583906	6.2833076	6.4655757	6.3361974	6.2360396	6.348803
100	7.809355	7.5040565	8.363168	8.532581	8.107393	7.4025364	8.324065	7.8587427	7.669755	7.8079247	7.569277	8.393724	7.5260267	7.714786	7.2667584	7.7005143	7.251774	7.8279557	7.409562	7.7842884	7.5021205	8.02153	7.6547003	8.611618	7.499598
10001	9.226682	9.201776	9.042043	9.304322	9.431319	9.473413	9.661762	9.3927355	9.24801	9.132648	9.748707	9.601529	9.288664	8.959472	9.165954	9.941873	9.062686	9.015213	9.115906	9.225297	8.9993305	9.291593	9.030325	9.055145	9.08739
10004	6.5013065	6.190994	6.8171554	6.338793	6.860434	6.3226676	6.210684	5.9772964	6.343827	7.4847913	6.251972	6.4459496	6.200556	6.1637926	6.036747	6.3284006	6.189313	6.3724985	6.129464	6.081004	6.034835	6.1156526	6.0977087	6.5231695	6.084398
10007	10.06777	10.0427265	11.11488	11.039864	10.831371	9.661129	10.551194	10.168047	10.184235	10.550292	9.888323	10.795453	9.919653	9.915462	9.749957	9.893392	9.470069	10.007882	10.04651	10.14965	9.489521	10.253112	9.577265	11.146966	9.674831
10009	9.718578	10.918904	9.969518	9.932662	10.134887	9.966072	10.0144825	9.952616	9.93963	9.282138	9.891324	9.777422	9.56874	9.885644	9.506132	9.536432	9.443569	9.99995	8.966454	9.68231	9.12222	9.688122	9.058543	9.827078	9.289139
1001	5.939748	5.9700003	6.0000978	6.0124097	5.9765043	5.8870697	5.9436026	6.1594176	5.862759	6.3077044	5.9256716	6.09651	5.901903	5.7087007	6.0023203	6.138909	6.1573424	5.926853	5.947814	5.973608	5.9939475	5.954679	5.979682	5.9964423	5.933177
10010	8.798905	8.552393	8.477973	8.147161	8.609421	8.293594	8.410502	8.940172	8.7654295	8.880523	8.865488	8.438965	9.08637	9.189665	9.60688	9.420396	9.021612	9.278112	9.217036	8.97772	9.341044	9.341971	9.39833	8.805656	8.698444
10011	7.0127764	7.321226	7.350956	6.6831856	7.3667765	7.2622766	7.8623195	7.1080284	7.52295	7.3607025	7.455006	7.767653	6.8346667	6.8744216	7.1020203	7.035776	6.7083626	6.6017275	6.8622823	7.3014154	6.8686686	7.289819	7.089843	7.180656	7.0999603
100126270	5.9220963	6.007132	5.793089	5.854279	5.834049	5.814684	5.8208237	5.8970003	5.93667	5.759061	5.710916	5.9184437	5.8842015	5.81814	5.8871527	5.8076253	5.909272	5.9510875	5.930419	5.8535337	5.827866	5.8314514	5.8312635	5.8800097	5.9793653
100126798	8.257996	7.1609287	8.097391	7.699729	6.8786955	11.460324	7.7311845	7.3598113	6.9985633	7.4390593	7.3787556	7.5344224	6.1871448	7.0096784	6.0752892	6.9728494	6.8760343	6.3781047	7.488132	7.6913977	6.62158	6.27247	7.6339254	7.1799827	6.371265
100128788	6.4254203	6.9080715	7.108401	6.300659	6.410704	7.756906	7.3086753	6.5694456	6.6515822	6.153731	6.589049	7.561653	6.330949	6.391959	6.4806857	6.1627464	6.583314	6.0490365	6.3652287	6.193189	6.192565	6.1393275	6.3793097	6.4819307	6.392846
100129027	5.938973	6.012107	6.0233836	5.768264	6.0423255	5.967752	5.9831676	6.012783	6.039941	5.9215884	5.9999514	6.0669417	6.0939336	5.983223	6.026059	5.8890147	6.00043	5.965077	6.0936246	5.982477	6.2119465	6.0841894	6.052631	6.0177712	5.839249
10013	8.597028	10.007882	9.549496	8.521226	8.424532	8.67909	8.822951	9.919653	9.618061	7.9875784	9.71275	9.353461	8.998888	9.030325	9.181379	8.648873	9.381067	8.82347	9.599833	9.707983	9.412851	8.963098	9.111727	9.345153	9.542421
100130705	6.182656	6.3280797	6.2809854	6.3287983	6.2536073	6.3055496	6.409937	6.716997	6.2169886	6.353293	6.5000215	6.41512	6.2763767	6.286669	6.2361426	6.3909283	6.4346766	6.4071608	6.6558294	6.6217256	6.494223	6.467594	6.6614776	6.355326	6.4730563
100132476	6.1200166	6.0483975	5.8993387	6.038021	6.1579337	6.1991754	6.198699	6.2220235	6.1371884	6.1074553	6.2358046	5.974831	5.9422326	6.1543703	6.02282	6.1011543	6.122398	6.1255836	6.3922024	6.188403	5.98906	6.2862797	6.1371884	6.1087866	6.02486
100132987	6.1717334	6.12673	6.1885085	6.0890265	6.1239934	5.9839177	6.089543	6.2955527	6.119222	6.1876698	6.321004	6.2286744	6.253138	6.281439	6.492589	6.1970854	6.2387853	6.102808	6.898654	6.1891155	6.2110214	6.1807284	6.3956537	6.2117195	6.3917317
100144748	6.3085585	6.208193	6.366207	6.2965693	6.2917066	6.218055	6.419022	6.2693152	6.375668	6.205316	6.278542	6.339503	6.243007	6.357468	6.434484	6.290892	6.2665505	6.5946746	6.5915065	6.543807	6.4530344	6.6061597	6.688015	6.4680023	6.742765
10016	10.131107	10.521307	10.838426	10.86965	11.053287	10.599957	10.653133	10.298582	10.567646	11.006133	9.536925	10.667215	10.418688	10.358611	10.57451	10.702553	10.379052	10.4168415	10.174033	10.097319	10.246573	10.455043	10.109887	10.320384	10.30234
10018	6.1945424	6.0472226	6.0401807	5.9049706	6.074994	6.154997	6.0901313	6.060272	6.006078	6.229647	6.2245364	6.299908	6.00815	6.151671	6.0027595	6.121748	6.399666	6.1310678	6.076012	5.891854	6.0110455	5.7995715	5.9891286	5.9749336	5.96167
10020	10.57451	9.199904	9.344612	8.581484	8.870666	10.553169	8.38166	10.550292	10.357037	8.122953	9.948398	8.877508	11.11488	11.192711	11.323609	9.646514	11.031036	10.838426	11.236675	10.7693205	11.2496195	11.032237	11.424598	10.263489	11.208267
10021	5.8653274	5.904504	6.0142303	6.0508842	6.220898	6.0846353	6.1062965	6.1847005	6.178913	6.1485043	6.241318	6.1759996	6.125917	5.9744725	6.053505	6.1141677	6.0624557	6.0498724	6.18704	6.2594805	6.0016127	6.0297794	6.2631497	6.111118	6.0204782
10024	6.7967286	7.068889	6.410704	7.4729238	6.04775	8.263422	8.013911	6.0454884	6.3361974	7.3297596	8.003417	7.6863213	5.9538765	5.9912443	5.9273996	5.978312	6.09072	5.949733	6.1017766	5.933126	6.013739	6.155143	5.908591	6.22606	6.065461
100240735	6.0202804	6.0513086	6.330276	5.8923492	6.6910434	6.2056785	6.065352	6.0308228	5.8983507	6.2380457	5.898468	6.0077586	6.320484	6.144457	6.1696105	6.3091965	6.444119	6.297738	6.606984	6.4128675	6.1597047	6.330276	6.0588026	6.6667404	5.978284
10025	8.657495	9.47826	9.048891	8.802699	9.373552	9.512502	8.925298	8.994265	8.991695	9.866083	9.665406	9.232065	9.662958	9.680314	9.600394	8.940172	9.697871	9.641376	9.710957	9.259592	9.51928	9.2003765	9.819909	9.331032	9.829011
100287171	10.259544	11.301591	11.652169	11.569576	11.304575	10.36428	11.296018	10.443741	10.614054	12.438751	10.54631	11.562926	10.698286	10.689748	10.555879	10.976116	10.724647	10.783846	11.110684	10.602126	11.117589	10.900215	10.671249	10.88245	10.77699
