GSM2367635	GSM2367636	GSM2367637	GSM2367638	GSM2367639	GSM2367640	GSM2367641	GSM2367642	GSM2367643	GSM2367644	GSM2367645	GSM2367646
100506136	6.0132947	6.2619514	5.930813	5.889372	6.2662606	5.9982624	5.971041	6.136636	6.1319566	6.2493873	5.991544	6.0369496
100506164	6.2212143	6.2340937	6.039752	6.342725	6.7361717	6.415044	6.6323395	6.7771215	6.8709583	6.1807613	6.322145	6.5167685
100506668	6.872283	6.6142173	6.7565007	6.673598	6.716701	6.946633	6.679689	6.3717284	6.4065495	6.5996733	6.6228848	6.861928
100507003	5.9681277	5.933546	5.820652	6.0509367	6.0421724	5.9049063	5.75508	5.604073	5.842144	5.9365582	5.7996764	5.8999357
100507436	6.2682366	6.2923136	6.3559365	6.3718677	6.5724955	6.9014754	6.4744124	6.87816	6.1678596	6.555905	6.743373	6.5521827
100507470	5.8530455	5.9581676	6.121677	5.99643	6.0374656	6.151419	5.861888	5.9504514	5.887745	5.9430685	5.92312	5.898453
10051	5.901026	6.0308876	6.0041723	6.026229	6.100376	6.3025136	6.4106264	6.3877892	6.0900273	5.9531026	6.552536	6.210765
10053	5.865664	6.1280036	5.929392	5.968829	6.05749	5.930953	5.720071	6.11691	5.8297067	5.5915194	5.680962	5.6916237
10055	11.782991	11.595194	11.124356	12.823335	11.461751	12.6784115	12.775695	10.891512	11.281477	12.6250305	12.016303	12.265207
10057	8.235544	9.044369	9.222554	9.243061	8.50955	7.833337	9.718578	7.6483335	8.195609	9.2751465	7.856482	8.792326
1006	5.5230513	5.7602468	5.7138524	5.568288	5.6676717	5.5602126	5.7267146	5.584864	5.5888634	5.719326	5.57228	5.5410013
10060	6.6537685	5.8554273	6.275423	5.8863645	6.308229	6.5551867	5.9686766	7.233833	6.8046703	5.804077	6.244328	5.966795
10061	7.7591395	7.364858	7.0654235	8.490352	7.537535	7.7284565	7.856482	7.543251	7.5132513	7.7311845	7.5861	7.4786
10062	10.003651	10.418688	10.887715	9.683364	9.930451	9.777422	8.996147	9.37613	9.90584	8.78564	9.67607	10.126445
10066	7.069321	7.6333885	7.653896	7.7128825	7.5532904	7.290753	7.7834287	7.507785	7.548381	7.052532	7.417418	7.7215333
10067	10.555064	10.093497	9.736979	10.365957	9.895337	9.886919	10.386031	9.633972	9.949852	10.797729	10.511929	10.271673
1007	6.177508	6.214709	6.4595265	6.1295943	6.0977087	6.216623	6.1576986	6.4321756	6.3023415	6.168416	6.1464915	6.0323997
10071	5.985875	6.293381	6.192735	5.9391603	6.1557283	6.2087107	6.0030837	5.926922	5.8103466	6.020509	5.740483	5.90549
10072	6.4613795	6.8685045	6.3211994	7.353354	6.638575	7.3360085	6.380211	6.9938536	6.5483136	6.778748	6.7906623	6.6395717
10073	8.577524	7.8567805	8.032457	8.454725	8.803543	8.343921	9.190598	8.63946	8.8048115	8.724738	8.982882	8.614891
10075	7.407635	8.146539	7.3787556	7.7452	7.335349	7.2344766	7.8222218	7.432271	7.6059275	7.380967	7.392973	7.8547807
100750326	5.996665	5.9577913	5.864033	5.900808	5.765432	5.92281	6.139923	6.117284	5.9973254	5.9459753	5.7053556	5.910937
10076	6.056074	6.0137243	5.865664	6.2295537	6.254093	5.952945	6.2313175	5.912846	6.175266	5.997037	5.9238353	5.737404
