GSM2367647	GSM2367648	GSM2367649	GSM2367650	GSM2367651	GSM2367652	GSM2367653	GSM2367654	GSM2367655	GSM2367656	GSM2367657	GSM2367658	GSM2367659	GSM2367660
10044	7.6105638	7.3902683	8.043939	7.355394	8.13216	7.588858	7.681229	7.460996	6.9160295	7.3418794	7.753325	8.604699	7.6863213	6.6099386
10045	5.946698	6.0851593	6.0316787	6.105771	5.9651527	6.197529	6.2370005	6.016938	6.2551694	6.3120456	5.8032384	6.1141677	6.294512	5.8709826
10048	6.0041056	6.425694	6.083067	6.257146	6.2113075	6.4237757	6.408915	6.3719416	6.348459	6.503519	6.2881994	6.34231	6.1979156	6.5145826
10050	10.72353	9.966072	9.298848	10.718244	8.490003	9.798507	7.239527	9.855102	8.564399	10.72353	7.438337	6.210765	9.065929	9.350977
100505975	5.9986353	5.9289513	5.8701015	5.9804993	6.034929	5.943879	5.896353	6.229203	6.0645843	6.384065	5.9156275	6.053235	6.032899	6.0670776
100506084	6.114656	6.172972	6.031527	6.1711373	6.247329	6.182821	6.094237	6.2664037	6.2312713	6.0949817	6.149163	6.0662885	6.1696105	6.0045943
100506136	6.093604	5.9781933	6.1293325	6.2125754	6.0400724	6.121346	5.9378457	6.032705	6.1303	6.155084	6.094859	5.9859614	5.98129	6.0546427
100506164	6.301085	6.8636928	6.3862877	6.28715	6.2969484	6.1700134	6.0569	6.5777764	6.2599034	6.2132206	6.2208157	6.533049	6.4447994	6.9186325
100506668	6.6773973	6.768099	6.4868684	6.500666	6.5126214	6.9256763	6.6886187	6.4843254	7.391009	7.100783	6.7646236	6.3271694	6.4766574	6.617627
100507003	5.939896	5.8536196	5.8445163	5.8492823	5.787416	5.789878	5.74708	5.8346386	5.7673717	5.8341537	6.00164	5.713249	5.952759	5.8010426
100507436	6.334237	6.621043	6.6022563	6.805996	6.8497396	6.4212976	6.618559	6.421798	7.139376	6.5560164	6.7624135	7.737098	6.7995334	7.3086753
100507470	6.0584445	5.915434	6.083713	5.938057	5.9275427	5.986988	5.96791	5.906991	6.0313344	6.067236	6.235436	5.911026	5.990456	6.1052
10051	6.1192465	6.273716	6.1591225	6.043887	6.09749	6.1555505	6.1208057	6.176844	6.389835	6.306972	6.244854	6.0574584	6.33124	6.3626275
10053	6.555434	5.874554	5.9085765	5.93286	6.042373	6.8363934	6.159534	5.9849844	6.9606867	6.242082	6.4920955	6.0686183	5.7472525	6.098266
10055	12.195501	11.618522	11.844578	11.536834	11.245588	12.915266	11.813252	11.117589	12.00523	12.035799	11.851691	11.351988	11.051991	11.923337
10057	9.264214	8.44464	8.744579	8.310061	8.995192	8.595656	8.260068	8.199191	8.310995	8.04119	9.689222	8.565248	7.771341	8.899995
1006	5.75235	5.6084585	5.835457	5.752747	5.739494	5.5620975	5.72531	5.664337	5.5605	5.7453413	5.720412	5.823908	5.496172	5.758685
10060	6.0690193	5.772343	6.163507	6.427007	6.2624564	5.8705287	5.9391713	6.43458	6.1255174	7.04421	6.204652	6.876942	6.5819583	6.199546
10061	7.74923	7.514781	8.360085	7.6442556	7.5155215	8.674059	8.205892	7.510394	8.992555	8.311621	8.172697	7.8019223	7.4083095	8.330342
10062	9.510626	10.219087	9.719235	10.916304	9.428606	9.802051	9.715189	10.19863	8.811841	8.855207	9.350027	8.594934	9.647033	9.455208
