Genes	GSM2367626	GSM2367627	GSM2367628	GSM2367629	GSM2367630	GSM2367631	GSM2367632	GSM2367633	GSM2367634	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
100130705	6.2865005	6.0762177	6.2440004	6.228973	6.2510567	6.2409825	6.277257	6.2763767	6.3719416	6.2763767	6.286669	6.2361426	6.3909283	6.4346766	6.4071608	6.6558294	6.6217256	6.494223	6.467594	6.6614776	6.355326	6.4730563
100132476	6.0013394	6.1188393	6.0463037	5.8766866	6.078572	6.051075	5.9750333	6.088758	5.905525	5.9422326	6.1543703	6.02282	6.1011543	6.122398	6.1255836	6.3922024	6.188403	5.98906	6.2862797	6.1371884	6.1087866	6.02486
100132987	6.296634	6.1586194	6.123205	6.1807284	6.2844067	6.2752514	6.182429	6.1900315	6.247879	6.253138	6.281439	6.492589	6.1970854	6.2387853	6.102808	6.898654	6.1891155	6.2110214	6.1807284	6.3956537	6.2117195	6.3917317
100144748	6.455395	6.269995	6.2539477	6.1924634	6.060458	6.5060616	6.3271694	6.1682563	6.1464157	6.243007	6.357468	6.434484	6.290892	6.2665505	6.5946746	6.5915065	6.543807	6.4530344	6.6061597	6.688015	6.4680023	6.742765
10016	10.72803	10.837254	10.939927	10.618358	10.7693205	10.901458	10.696133	10.441143	10.360356	10.418688	10.358611	10.57451	10.702553	10.379052	10.4168415	10.174033	10.097319	10.246573	10.455043	10.109887	10.320384	10.30234
10018	5.953626	6.0113344	5.9542847	5.864572	6.070071	6.46887	5.8795743	6.1127796	5.884906	6.00815	6.151671	6.0027595	6.121748	6.399666	6.1310678	6.076012	5.891854	6.0110455	5.7995715	5.9891286	5.9749336	5.96167
10020	9.897124	10.72353	9.885644	9.447287	10.510986	10.282988	9.669209	11.059645	9.726589	11.11488	11.192711	11.323609	9.646514	11.031036	10.838426	11.236675	10.7693205	11.2496195	11.032237	11.424598	10.263489	11.208267
10021	6.1640286	5.809577	5.9514465	5.768845	6.101799	6.1337147	5.951648	5.9948297	6.0974307	6.125917	5.9744725	6.053505	6.1141677	6.0624557	6.0498724	6.18704	6.2594805	6.0016127	6.0297794	6.2631497	6.111118	6.0204782
10024	6.5494785	6.7051063	6.147078	6.151789	6.475951	6.2080054	6.235848	6.086729	6.2456884	5.9538765	5.9912443	5.9273996	5.978312	6.09072	5.949733	6.1017766	5.933126	6.013739	6.155143	5.908591	6.22606	6.065461
100240735	6.373066	6.026796	6.2059526	6.5585713	5.9734173	6.10647	6.2575946	6.189148	6.493135	6.320484	6.144457	6.1696105	6.3091965	6.444119	6.297738	6.606984	6.4128675	6.1597047	6.330276	6.0588026	6.6667404	5.978284
10025	9.893392	9.472891	9.432916	9.1772175	9.385096	9.387278	9.006868	9.733113	9.384034	9.662958	9.680314	9.600394	8.940172	9.697871	9.641376	9.710957	9.259592	9.51928	9.2003765	9.819909	9.331032	9.829011
100287171	11.195407	10.732554	10.468216	10.775876	10.770478	10.722264	11.629756	10.591804	11.217345	10.698286	10.689748	10.555879	10.976116	10.724647	10.783846	11.110684	10.602126	11.117589	10.900215	10.671249	10.88245	10.77699
100287482	5.854155	5.715941	5.812383	6.012655	5.7461715	5.807168	5.761092	5.630358	5.8070316	5.895929	5.872264	5.9976063	5.7233615	5.8779254	5.732265	5.8823357	5.967752	5.827403	5.940459	5.8700213	5.790463	5.7864637
100287932	6.885509	8.08645	7.7987385	7.5840235	8.050988	7.2406173	7.44293	7.645539	7.027617	7.5264826	7.741101	7.8274198	7.714287	7.571581	7.8124785	7.7405114	7.0792294	7.384639	7.7939706	7.587578	7.380967	7.6418796
100288413	5.7134986	5.776825	5.709738	5.8563566	5.835995	5.7236247	6.011857	5.7037644	5.7962627	5.5410013	5.5705338	5.7923965	6.145494	5.990588	5.9174423	5.8371463	5.9557705	5.754442	5.706611	5.794501	5.753066	5.685332
100288524	5.764151	5.786763	5.7310553	5.92236	5.9375243	5.892585	5.938681	5.7525077	5.8537064	5.8692575	5.9131594	5.8171287	5.780768	5.7693048	5.8038964	5.6475716	5.85574	5.777479	5.828834	5.736956	5.6527896	5.858317
100289635	7.005135	6.0650387	6.630925	6.9291444	6.957898	6.9894404	7.006292	6.532189	6.8314896	6.569673	6.537308	6.523617	6.5028524	6.3926783	6.491899	6.584576	6.580558	6.391317	6.285546	6.46887	6.741009	6.5497203
1003	8.711235	8.665023	8.164396	9.197899	8.636426	9.48429	9.584392	8.991695	9.168458	9.463022	8.82256	8.719845	8.958205	8.556015	9.67425	8.53496	9.15685	8.6795025	9.419399	8.865114	9.773618	8.674419
100316868	6.0435266	6.7632017	6.1376233	6.3328056	6.401511	6.338425	6.152197	6.202121	6.056074	5.9143	6.278215	6.1246996	6.1993527	5.85577	6.1105537	5.925791	5.9721303	5.9773326	5.9021153	6.1493073	6.0191007	6.04338
10036	6.07692	5.919332	5.905989	5.986042	5.8666544	6.151476	5.8642926	5.939966	5.9747415	6.062876	5.9019895	6.170427	5.8858786	5.8902383	6.0734243	5.8412232	6.0696735	5.921842	5.876573	5.857908	5.8404317	5.9473996
100379345	6.6694255	6.739581	6.5093107	7.289819	6.85585	6.87674	7.9803033	6.9932823	6.7244573	6.41592	6.825859	6.784102	6.68845	6.3132186	6.754927	6.622364	6.665151	6.9379473	6.633057	6.7491016	6.633754	6.48834
10038	7.864863	7.718744	7.532046	7.882001	7.693738	7.978817	7.7432823	8.12108	7.47959	7.5073004	7.225915	7.139204	7.163255	7.387462	7.2336164	7.184187	7.5119505	6.964302	6.771436	7.5070353	7.5252476	7.6298366
10039	8.987347	8.745229	8.437546	8.090317	8.330656	8.671327	7.8654532	8.352256	8.142984	7.8359427	7.8951325	7.905107	7.7435546	7.8443265	8.040632	7.8878098	7.847539	7.7549725	7.6868663	8.06996	8.004321	8.403891
1004	6.000642	5.7868924	5.8561397	5.927053	5.748088	5.822607	5.7084365	5.7157183	5.8933797	5.9948125	5.748113	5.881481	5.810567	5.8024473	5.80463	5.9436407	5.838269	5.8626795	5.788774	5.797553	5.8050876	5.85064
10043	7.1725044	6.5032988	6.75461	6.4063687	6.7394123	7.4894586	6.588709	7.0821548	6.8676195	6.5007625	6.280447	6.746518	6.6567273	6.528226	6.546821	6.5122905	7.001336	6.2131414	6.5160737	6.7663946	6.7760043	6.757022
10044	7.855889	7.687691	7.355394	8.258362	7.3421216	7.8933997	8.635727	7.5264826	8.503606	7.4742017	7.2638273	7.2430563	7.531053	7.1679626	7.4622436	7.21846	7.3284025	7.3507514	7.529468	7.17	7.847859	6.948081
10045	5.941973	5.8865395	6.0019655	6.3103867	6.0359044	6.060061	5.9601464	6.161759	6.254964	5.9372816	5.975762	5.8869376	6.463676	5.848737	5.9246655	5.9282937	5.833902	5.979775	6.0373335	6.151968	6.012839	6.021883
10048	6.514317	6.284806	6.376524	6.311557	6.8228188	6.453538	6.3479276	6.527218	6.488876	6.2194724	5.8757854	6.651441	6.1373906	6.270996	6.322919	5.9892325	6.4129553	6.2808785	6.560311	6.1898923	6.141114	6.6974998
10050	10.0942745	9.87787	8.586155	9.042977	10.741523	9.389149	9.49387	8.5428	9.351943	7.5863333	8.455403	8.285062	7.431309	9.218585	8.536745	7.6989417	8.655218	8.722633	6.994832	8.777269	8.415072	9.284656
100505975	6.1214824	5.9945917	5.784015	5.882246	5.9766455	5.784015	5.9479923	6.043165	5.8669567	6.016057	5.9673243	5.8301177	5.8087554	5.81806	5.63748	5.8785644	5.7547526	5.798619	5.881018	5.8525696	5.789746	5.877728
