GSM2367626	GSM2367627	GSM2367628	GSM2367629	GSM2367630	GSM2367631	GSM2367632	GSM2367633	GSM2367634
10067	9.7163725	10.294478	9.819909	9.709816	9.5801935	9.748086	9.731264	9.629954	10.170276
1007	6.1484485	6.0138106	6.074294	6.015396	6.0449085	6.2225733	6.152859	6.127333	6.1511083
10071	5.942931	5.950486	5.849358	6.037145	6.015205	6.0129843	6.124499	6.132252	5.9870267
10072	6.7468157	7.5800424	7.174013	6.458635	6.7798467	6.687101	6.6999025	6.9620004	6.549856
10073	8.282634	8.597356	8.4980545	8.530983	8.621594	8.136494	8.139243	8.385604	8.269664
10075	7.515242	7.1360707	7.611092	7.349059	7.766256	7.869919	7.3407044	7.622634	7.461272
100750326	5.8105993	5.9482512	5.782491	5.820271	5.886842	5.8675995	5.8094454	5.8958697	6.0613294
10076	6.1213894	5.926414	6.0264077	6.2501016	6.453334	6.0291758	5.883518	6.2077603	6.4495196
10079	10.257304	9.655859	9.822499	10.134887	10.363551	9.97111	10.977576	9.7799835	10.426572
10081	7.959909	7.5942106	7.553525	7.441234	7.391009	7.6961203	7.4897013	7.6786776	7.7225537
10082	8.926903	8.632565	8.294233	8.077158	8.279969	8.555681	8.208822	8.118725	8.731568
100861522	5.8394427	6.34723	6.145966	5.9426746	5.951184	5.9897923	5.9217706	6.1833515	5.8484592
100862704	7.194931	6.8523507	6.8507648	6.6369157	6.8728304	6.7386494	6.727623	6.912133	6.6827235
10087	9.894121	8.119799	9.163037	9.289619	8.694453	10.14401	9.423043	9.590732	9.479665
100873955	6.2928762	6.085446	5.908005	6.0835776	5.9597907	6.1227107	6.11617	6.229861	6.085
100874047	5.906677	5.8119993	6.133767	5.7811027	5.9838924	6.089283	5.901954	5.826549	5.9515085
100874064	6.534381	6.101241	6.150762	6.1113753	6.0925794	6.3359923	6.1557283	6.088966	6.2921395
100874107	5.8990602	6.1171927	5.953561	5.875908	5.9427524	5.8366804	5.777129	5.873941	6.001009
100874222	6.033409	5.946762	6.039752	6.1067266	6.117862	6.0983276	6.111945	6.1269097	6.187208
100874234	6.586791	6.42595	6.5370264	6.422662	6.4565544	6.44586	6.2919693	6.453963	6.446949
