GSM2367587	GSM2367588	GSM2367589	GSM2367590	GSM2367591	GSM2367592	GSM2367593	GSM2367594	GSM2367595	GSM2367596	GSM2367597	GSM2367598
1	6.17836	5.9235125	6.243688	6.179078	6.178913	5.98175	5.961276	6.061149	6.1440578	6.0793805	6.237211	5.84546
100	7.7382584	7.969147	7.854208	7.5609655	7.792168	7.737384	8.163467	7.660125	8.142282	7.638189	7.632288	7.1381984
10001	8.959472	9.198865	9.216053	9.103081	9.367687	9.258563	9.347888	9.15871	9.371969	9.249023	9.1481905	9.134059
10004	6.486389	6.4994893	6.535217	6.4653897	6.724311	6.732285	6.6468463	6.7967286	6.9764676	6.8635063	6.1005282	6.3399134
10007	10.545351	10.346107	10.083508	9.931202	10.203277	10.233471	10.200903	9.709816	10.310682	9.831798	9.675445	9.589576
10009	9.892713	10.194836	9.82643	10.21829	10.176325	9.442976	9.904589	9.633972	9.603933	9.360176	9.811533	9.515355
1001	6.1216574	5.962006	6.0188575	5.845063	6.033266	6.0511737	6.010426	6.1285615	6.157233	5.8875794	5.801518	5.6828
10010	8.883801	9.241559	8.959472	9.11685	9.025191	9.152074	9.281249	9.085527	9.013026	8.889755	8.943928	8.799787
10011	7.0295715	6.8888717	6.75399	6.948809	7.044626	7.201166	6.8935156	7.025818	6.868153	7.1523066	6.974244	7.2776656
100126270	5.9884367	5.8110437	6.0862894	5.9127593	5.8367434	5.931799	6.031376	6.0079393	6.2373796	5.929635	6.112391	5.9244857
100126798	6.925511	6.519459	7.0975657	6.786824	6.826733	7.943593	6.158142	6.553143	7.4902067	8.255705	6.466708	6.519906
100128788	6.1867266	6.49815	6.3319817	6.247739	6.6555667	6.37832	6.2535534	6.46769	6.154108	6.6432056	6.3689017	6.4050064
100129027	5.857222	5.8915563	5.8381834	5.8045774	5.9799333	6.0322714	6.194155	5.828652	6.0211697	5.905425	5.9679856	5.840521
10013	8.797251	9.64764	9.355499	9.258563	8.584107	9.0511675	9.420396	9.40088	8.982462	9.0340805	9.6453495	9.903967
100130705	6.3376517	6.730577	6.13176	6.3356595	6.2865553	6.27779	6.3059072	6.1940517	6.263337	6.3291807	6.287807	6.242474
100132476	5.9938235	6.142606	6.0882397	6.008927	5.9093423	6.022606	5.9819074	5.88538	5.8938804	6.0470204	6.1379833	6.0294785
100132987	6.1748095	6.201815	6.221056	6.0307426	6.076746	6.2196383	6.1116943	6.264167	6.1479716	6.2579975	6.1409535	6.2659426
100144748	6.220652	6.31402	6.2531834	6.137418	6.1366854	6.255469	6.209843	6.139686	6.209303	6.0613093	6.3822584	6.23352
10016	11.161416	10.477185	10.933584	10.666171	11.003791	10.356011	10.561822	10.722264	10.719174	10.796433	10.2952	10.351933
10018	5.932621	5.852299	5.96326	5.925328	6.1330104	5.860656	5.9750752	6.0755315	6.030727	5.906704	6.0278645	6.1574035
10020	9.24549	10.608154	10.244196	10.973536	9.861093	10.799934	10.4726095	10.6425	9.724163	10.4168415	11.085366	10.96645
10021	5.843774	5.8517065	5.8729424	5.8308077	5.994788	6.0828075	5.924959	6.0034027	5.948776	5.9586496	5.962083	5.951609
10024	6.1263714	5.7584486	6.027424	5.9182925	6.1368475	6.37853	5.86951	5.9927573	5.8344884	6.025883	5.8369956	5.8780146
100240735	6.501433	6.7021327	6.4525046	6.4286914	6.6139917	6.3489413	6.7607045	6.5147023	6.680126	6.615135	6.2523804	6.135885
10025	8.964504	9.046679	9.058543	9.084166	9.479189	9.417345	9.073513	9.3063345	9.135011	9.120756	9.177661	9.295361
