Genes	GSM2367587	GSM2367588	GSM2367589	GSM2367590	GSM2367591	GSM2367592	GSM2367593	GSM2367594	GSM2367595	GSM2367596	GSM2367597	GSM2367598	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
10021	5.843774	5.8517065	5.8729424	5.8308077	5.994788	6.0828075	5.924959	6.0034027	5.948776	5.9586496	5.962083	5.951609	6.125917	5.9744725	6.053505	6.1141677	6.0624557	6.0498724	6.18704	6.2594805	6.0016127	6.0297794	6.2631497	6.111118	6.0204782
10024	6.1263714	5.7584486	6.027424	5.9182925	6.1368475	6.37853	5.86951	5.9927573	5.8344884	6.025883	5.8369956	5.8780146	5.9538765	5.9912443	5.9273996	5.978312	6.09072	5.949733	6.1017766	5.933126	6.013739	6.155143	5.908591	6.22606	6.065461
100240735	6.501433	6.7021327	6.4525046	6.4286914	6.6139917	6.3489413	6.7607045	6.5147023	6.680126	6.615135	6.2523804	6.135885	6.320484	6.144457	6.1696105	6.3091965	6.444119	6.297738	6.606984	6.4128675	6.1597047	6.330276	6.0588026	6.6667404	5.978284
10025	8.964504	9.046679	9.058543	9.084166	9.479189	9.417345	9.073513	9.3063345	9.135011	9.120756	9.177661	9.295361	9.662958	9.680314	9.600394	8.940172	9.697871	9.641376	9.710957	9.259592	9.51928	9.2003765	9.819909	9.331032	9.829011
100287171	10.983041	10.672302	10.669145	10.676406	10.714353	10.379052	10.685437	10.42293	10.583749	10.446801	10.592613	10.4653015	10.698286	10.689748	10.555879	10.976116	10.724647	10.783846	11.110684	10.602126	11.117589	10.900215	10.671249	10.88245	10.77699
100287482	5.793798	5.7646246	5.8284664	5.765505	5.529523	5.77475	5.784346	5.7428145	5.5869317	5.9034834	5.791314	5.6746454	5.895929	5.872264	5.9976063	5.7233615	5.8779254	5.732265	5.8823357	5.967752	5.827403	5.940459	5.8700213	5.790463	5.7864637
100287932	7.4793577	7.472694	7.7504077	7.95814	7.803897	7.777636	7.691877	7.935541	7.7438545	8.097391	7.5629644	7.7907386	7.5264826	7.741101	7.8274198	7.714287	7.571581	7.8124785	7.7405114	7.0792294	7.384639	7.7939706	7.587578	7.380967	7.6418796
100288413	5.9552603	5.7703013	5.991323	5.9260387	6.0363297	5.9570975	6.1235633	6.0078115	6.0476413	5.7651863	5.710063	5.801412	5.5410013	5.5705338	5.7923965	6.145494	5.990588	5.9174423	5.8371463	5.9557705	5.754442	5.706611	5.794501	5.753066	5.685332
100288524	5.869524	5.8284216	5.582529	6.016157	5.9701834	5.9087915	5.8826647	5.896364	5.9288397	5.7742724	5.6469684	5.6967716	5.8692575	5.9131594	5.8171287	5.780768	5.7693048	5.8038964	5.6475716	5.85574	5.777479	5.828834	5.736956	5.6527896	5.858317
100289635	6.678068	6.853562	6.758956	6.5626006	6.692699	6.526037	6.543209	6.5633736	6.4658895	6.150411	6.8509293	6.4861646	6.569673	6.537308	6.523617	6.5028524	6.3926783	6.491899	6.584576	6.580558	6.391317	6.285546	6.46887	6.741009	6.5497203
1003	8.602943	9.008248	8.9738035	9.009007	8.866681	9.009007	8.985525	8.669023	8.790032	8.433859	9.021612	8.465157	9.463022	8.82256	8.719845	8.958205	8.556015	9.67425	8.53496	9.15685	8.6795025	9.419399	8.865114	9.773618	8.674419
100316868	6.073371	6.2066164	6.1656256	6.272682	6.248294	6.1612487	6.211758	6.2037115	6.315254	6.18925	6.071527	6.334313	5.9143	6.278215	6.1246996	6.1993527	5.85577	6.1105537	5.925791	5.9721303	5.9773326	5.9021153	6.1493073	6.0191007	6.04338
10036	5.9496226	5.8323965	5.892175	5.916124	5.992606	6.029284	5.911374	5.9144897	5.9571114	6.052306	5.8758655	5.892898	6.062876	5.9019895	6.170427	5.8858786	5.8902383	6.0734243	5.8412232	6.0696735	5.921842	5.876573	5.857908	5.8404317	5.9473996
100379345	6.8935156	6.8574257	6.659347	6.5485396	6.8566995	6.4207344	6.691653	6.7299356	6.578422	6.297572	7.1230946	6.483746	6.41592	6.825859	6.784102	6.68845	6.3132186	6.754927	6.622364	6.665151	6.9379473	6.633057	6.7491016	6.633754	6.48834
10038	7.384639	7.3137674	7.637907	7.4649386	7.5047946	7.523361	7.7459693	7.4105005	7.587578	7.391009	7.374181	7.687691	7.5073004	7.225915	7.139204	7.163255	7.387462	7.2336164	7.184187	7.5119505	6.964302	6.771436	7.5070353	7.5252476	7.6298366
10039	8.037308	8.07551	7.820832	7.7893014	7.96484	7.9538226	7.9163485	8.128272	8.010984	7.968528	8.109882	8.00759	7.8359427	7.8951325	7.905107	7.7435546	7.8443265	8.040632	7.8878098	7.847539	7.7549725	7.6868663	8.06996	8.004321	8.403891
1004	5.801155	5.950961	5.619363	5.83967	5.8488383	5.7996597	5.7143044	5.670347	5.8244147	5.734867	5.617203	5.5846276	5.9948125	5.748113	5.881481	5.810567	5.8024473	5.80463	5.9436407	5.838269	5.8626795	5.788774	5.797553	5.8050876	5.85064
10043	6.414444	6.8346667	6.7145553	6.6821647	6.4422216	6.625427	6.4568486	6.6522727	6.5112767	6.896975	6.5789986	6.5904546	6.5007625	6.280447	6.746518	6.6567273	6.528226	6.546821	6.5122905	7.001336	6.2131414	6.5160737	6.7663946	6.7760043	6.757022
10044	7.663048	7.8881316	8.076893	7.2246623	7.4332314	7.566987	8.165977	7.4195447	8.098016	7.3261976	8.010648	7.3276854	7.4742017	7.2638273	7.2430563	7.531053	7.1679626	7.4622436	7.21846	7.3284025	7.3507514	7.529468	7.17	7.847859	6.948081
10045	6.653632	6.057401	6.28686	6.153238	6.351125	6.103546	6.3173394	6.397762	6.3401885	6.287314	5.8596997	6.0338335	5.9372816	5.975762	5.8869376	6.463676	5.848737	5.9246655	5.9282937	5.833902	5.979775	6.0373335	6.151968	6.012839	6.021883
10048	6.1467113	6.1872473	6.346493	6.38037	6.2463202	6.314807	6.184668	6.439831	6.284255	6.294689	6.3950467	6.3269587	6.2194724	5.8757854	6.651441	6.1373906	6.270996	6.322919	5.9892325	6.4129553	6.2808785	6.560311	6.1898923	6.141114	6.6974998
10050	8.124584	8.902184	8.782304	8.240325	8.902184	8.072489	9.030325	9.085061	9.036041	8.362476	8.712044	9.051653	7.5863333	8.455403	8.285062	7.431309	9.218585	8.536745	7.6989417	8.655218	8.722633	6.994832	8.777269	8.415072	9.284656
100505975	5.991655	6.07481	5.8835545	5.883691	5.885688	5.8263946	5.7979574	6.0622416	5.732955	5.894915	5.8985667	5.968086	6.016057	5.9673243	5.8301177	5.8087554	5.81806	5.63748	5.8785644	5.7547526	5.798619	5.881018	5.8525696	5.789746	5.877728
100506084	6.0488257	5.9409857	6.43103	6.044266	6.3017554	6.105068	6.26121	6.1499662	6.152591	6.2854342	6.259086	6.1690907	6.340053	6.499379	6.4588366	6.240157	6.242869	6.1984277	6.4965477	6.2662606	6.26005	6.277722	6.254692	6.3360643	6.158832
100506136	6.1514482	6.0230575	5.7185965	6.101534	5.9416556	6.068183	6.0909476	6.0479684	6.0725474	6.0346403	6.1150146	6.1138535	6.413816	6.1120143	6.118081	6.1741123	6.0815167	6.37915	6.299969	6.2853155	6.115059	6.4213886	6.204652	6.248439	6.240296
100506164	6.1473713	6.181947	6.1272893	6.2379184	6.28897	6.2986326	6.1448674	6.2846384	6.1863937	6.523756	6.177129	6.197002	6.084916	6.154932	6.1628966	6.150915	6.3315973	5.898272	6.2579975	5.9991603	6.065	6.4078665	6.1967463	6.1914268	6.019892
