GSM2367599	GSM2367600	GSM2367601	GSM2367602	GSM2367603	GSM2367604	GSM2367605	GSM2367606	GSM2367607	GSM2367608	GSM2367609
1	6.4720244	6.1786814	6.3262787	6.2951465	6.3202887	6.3641195	6.5109315	6.254245	6.253138	6.131173	6.3535213
100	7.391738	7.7234426	7.481806	7.277429	7.0579443	7.765095	7.5982623	7.150657	7.475454	7.438782	7.6752534
10001	9.063682	9.171852	8.793536	9.056138	8.777616	8.84566	8.883373	9.175194	8.981624	8.696379	9.073513
10004	6.4555936	6.4674096	6.307458	6.183959	6.3686085	5.9902678	6.2388306	6.1945424	6.3445873	6.0796237	6.606278
10007	9.329061	9.977988	10.048162	9.413846	9.73252	9.288664	10.1130085	9.403517	9.8977995	9.815019	8.938532
10009	10.357037	10.1463585	10.106219	9.2653	9.985847	9.470698	9.885644	10.724647	9.817502	10.244196	10.677501
1001	5.7026124	5.9428535	5.9102073	6.180219	6.0429273	5.7606435	5.718788	5.904958	5.771999	5.9139233	5.874081
10010	8.650555	8.677137	8.67636	8.70004	8.843106	8.842236	8.748859	9.046679	8.979449	8.857789	9.139273
10011	7.2865214	7.384639	7.2702355	6.9885077	6.8178277	7.352649	6.8799653	7.225091	7.239711	7.237571	6.795272
100126270	5.8998237	6.0326185	6.0207977	5.9131474	5.81811	5.889698	5.9458857	6.1049147	5.891966	5.850912	5.8310795
100126798	7.00225	6.4944463	6.7884393	6.3362556	6.3628545	6.4364023	6.61386	6.41036	6.51493	6.993466	7.365885
100128788	6.6201553	6.4352546	6.7312193	6.618689	6.516878	6.1093884	6.6590257	6.891177	6.335595	6.5109315	6.3735585
100129027	5.7701693	6.0308876	5.932515	6.006824	5.813185	5.959939	5.922346	5.90185	5.8582726	5.98464	5.8208566
10013	9.693042	9.4113	9.784425	9.533212	9.585485	9.37253	9.979431	9.190598	9.417839	9.698929	9.052833
100130705	6.203191	6.3903413	6.3835754	6.202752	6.3246794	6.4030223	6.2923136	6.1861844	6.187073	6.334857	6.3041453
100132476	5.8344274	5.857112	6.090172	6.068274	6.225009	5.9875917	6.012187	6.0419536	5.9578915	6.1197543	6.0052447
100132987	6.1092978	6.084398	6.106856	6.137854	6.265176	5.9172606	6.162867	6.1946144	6.1591225	6.260507	6.2901926
100144748	6.2310133	6.21535	6.202004	6.247879	6.3117185	6.408194	6.309893	6.149243	6.2692137	6.41145	6.259184
10016	10.386031	10.707957	10.683285	10.318518	10.402666	11.055847	10.40557	10.350004	10.582656	10.929925	10.779373
10018	6.0557966	5.8839746	5.9653215	6.1314526	5.670902	5.7042675	6.0747294	6.0256605	5.9557576	5.945154	5.8404193
