GSM2367575	GSM2367576	GSM2367577	GSM2367578	GSM2367579	GSM2367580	GSM2367581	GSM2367582	GSM2367583	GSM2367584	GSM2367585	GSM2367586
1	6.1133595	6.111333	6.393698	6.3295407	6.317129	6.5606947	6.190632	6.212225	6.349962	6.440886	6.2578006	6.209446
100	7.454032	7.0987635	6.8744216	7.242631	7.699729	7.0377603	7.809898	7.321023	7.4952216	7.676017	7.585315	7.6376457
10001	9.399386	9.4635725	9.107995	8.961375	8.791952	9.085922	9.103586	9.148665	8.846562	8.9017935	9.21409	8.997007
10004	6.211835	6.3708086	6.2130647	6.429234	6.027757	6.202458	6.514817	6.5943937	6.3262787	6.656285	6.41145	6.2858124
10007	9.543746	9.776807	9.556921	9.482237	10.157632	9.581525	9.73633	9.775517	9.460258	10.051944	9.510626	9.224844
10009	9.3778	10.072209	9.586797	9.669755	9.785648	9.636183	10.064094	9.792218	9.408076	9.412851	9.390665	9.006411
1001	6.051358	6.0800843	5.8464236	5.742038	5.915556	5.959939	5.940669	5.9777064	6.007885	5.728966	6.0909867	5.888939
10010	9.3314905	9.111242	9.000675	9.006411	9.2978325	8.731117	8.666196	8.9359455	9.188711	8.506604	8.779569	8.225963
10011	6.7205133	7.184187	7.2574725	7.0882673	6.785106	7.4906735	7.5093675	7.4716926	7.056527	7.300086	7.149623	7.498077
100126270	5.8779516	6.1510243	5.8520727	5.90028	5.871251	5.968944	5.96818	6.0377445	6.005612	6.069846	5.9539685	5.8996296
100126798	6.131931	7.2880507	6.9473305	6.465298	6.1711016	7.70989	7.1117835	6.147078	6.7825456	6.6163297	6.5657725	7.119277
100128788	6.161043	6.1815786	6.416087	6.437918	6.1767087	6.4314094	6.1416836	6.3643003	6.3137794	6.245729	6.694914	6.365899
100129027	5.8028264	5.875691	5.8392076	6.0216856	6.014593	5.84978	5.8364024	5.9802494	5.889997	5.9730105	6.038056	5.9366226
10013	9.11444	9.350027	9.59491	9.76149	9.111727	9.254398	9.371365	9.2631445	9.5801935	9.432326	8.919869	9.781162
100130705	6.0843587	6.2303176	6.386866	6.4958	6.479356	6.386051	6.308363	6.176326	6.328987	6.4705315	6.264557	6.2233677
100132476	5.9950194	6.065536	5.991004	6.0646014	5.9283915	5.9173617	6.042823	5.9986353	6.050721	5.992686	6.0530787	5.912833
100132987	6.08591	6.2150626	6.200408	6.1107535	5.9490514	6.1571507	6.0994067	6.1557584	5.962197	6.1991754	6.217453	6.011303
100144748	6.0393405	6.2246213	6.3519735	6.406041	6.3260155	6.3604927	6.1369305	6.4131374	6.2726316	6.001556	6.248581	6.302916
10016	10.340916	10.906351	10.445703	10.3852415	10.457945	10.545351	10.481065	10.638317	10.420395	10.496309	10.25131	9.961902
10018	5.9736347	6.044328	5.8812504	5.934865	6.0663247	6.1200967	6.300408	5.911076	6.131247	6.1745915	6.151841	5.612759
10020	10.767206	10.185664	11.038622	11.087918	11.117589	11.198342	10.38147	10.817151	11.407587	10.614054	11.126933	10.941224
10021	5.821545	5.9210434	5.979262	6.260706	6.2025304	6.3172708	5.987577	6.1185446	5.929922	6.002958	6.1151505	6.0829134
10024	5.802163	5.9816523	5.838984	6.11164	5.978785	6.0541954	5.7770715	5.852048	6.0592895	6.0354023	5.982539	5.9240603
100240735	6.0466485	6.249883	6.0473413	6.340579	6.049993	6.15136	6.2371325	6.170591	6.113522	6.5494785	6.246548	6.1564007
10025	8.856472	9.282628	9.594318	9.981683	9.658091	9.37253	9.741527	9.6524105	9.059958	8.990822	9.680888	10.096717
100287171	10.602126	10.786062	10.264104	10.854707	10.629734	10.643546	10.810808	10.961282	10.772874	11.183831	10.248046	10.678566
100287482	5.7748365	5.7463923	5.8130536	5.6980286	5.907342	5.809759	5.581721	5.746145	5.620895	5.640968	5.792254	5.7904444
100287932	8.701916	8.075867	8.070285	7.6568685	7.9095206	7.7320056	7.335126	7.8045187	8.013911	7.4329944	8.348458	7.892583
100288413	5.935918	5.860436	5.909603	5.844938	5.6952133	6.0676355	5.589788	6.0028734	5.839194	5.936546	5.75047	5.7676115
100288524	5.7978354	5.879399	5.838522	5.7081456	5.9299493	6.027352	5.9559965	5.9616933	5.911076	5.7661953	5.779694	6.1006107
100289635	6.3506794	6.4362926	6.3628545	6.592728	6.3116655	6.219196	6.4970875	6.466088	6.277665	6.5529175	6.578301	6.42683
