GSM2367610	GSM2367611	GSM2367612	GSM2367613	GSM2367614	GSM2367615	GSM2367616	GSM2367617	GSM2367618	GSM2367619	GSM2367620
10095	6.8843207	6.9368057	7.0892477	6.986557	6.717868	6.9235487	7.537535	7.391998	8.41126	7.4759583	7.442199
10096	8.349596	8.129564	8.302385	7.9278936	7.654174	7.239711	7.3045635	7.2424345	7.3775883	7.4289227	7.364858
10099	8.81144	8.550836	9.425771	9.408076	8.691228	8.818406	8.584107	8.540216	9.364077	8.779569	8.667475
10101	7.198136	7.0585327	7.2462792	7.43005	7.3934364	7.624396	7.401525	7.5106254	7.2631755	7.2594414	7.412888
10103	6.4603972	6.6416526	6.570706	6.3537307	6.5515456	6.5308437	6.480484	6.3955674	6.596158	6.626821	6.5380173
10105	7.2204795	6.769233	7.655299	6.605623	6.814724	7.122849	6.770382	7.0517626	6.7325664	6.7333527	7.2667584
10106	9.543746	10.641497	9.706224	10.52778	10.189581	10.172541	10.209	9.642508	9.755108	10.010834	9.867904
10112	6.090068	6.5699606	5.997506	8.395176	6.2595167	5.9877114	6.0509367	6.3861303	6.267707	6.1366615	6.2989726
10113	7.4293904	7.212619	7.4698586	7.2625117	7.598759	7.7365584	8.527145	8.785218	7.9721556	9.184738	8.235544
1012	6.2134876	6.1465416	5.748419	6.124679	6.1567354	5.910988	5.9977193	5.7713847	6.8729906	6.523294	6.1982775
10121	8.997476	8.881706	9.219137	9.054192	9.117882	9.225297	9.246995	9.220611	9.645897	9.551022	9.275685
10123	6.2778444	6.140608	6.2195954	6.327943	6.116147	6.0562954	5.954502	6.105705	6.277491	6.4031744	6.137165
10124	7.4897013	7.0519366	7.2991824	6.919388	7.047865	7.8490076	7.3789744	7.350956	7.418772	7.0409503	7.1938057
10125	6.312108	5.9177146	6.4358177	6.17305	6.339978	6.265176	6.0929875	6.206094	5.9576755	6.066562	6.065461
10127	8.239283	8.532581	7.8889933	8.249527	8.113126	8.020861	8.035456	7.9228263	8.012666	8.543422	8.060129
10129	6.8286695	6.415044	6.4824843	6.591085	6.4288745	6.443276	6.4683313	6.6267	6.1902556	6.5477133	6.636791
10134	11.313076	11.484554	11.24831	11.842459	10.875427	11.035865	11.231072	11.055847	11.653964	11.328349	11.138917
10135	9.694244	9.500506	9.373552	9.287145	8.273527	9.050705	8.68593	9.080633	9.451739	9.728297	9.771044
10137	7.787105	8.070559	7.199414	7.547366	7.8274198	7.4254966	7.685502	7.8669944	7.1335607	7.4419284	7.7397146
10138	7.99471	7.667828	7.4654417	7.412412	7.623382	7.73683	7.5917854	7.933538	7.3907714	7.718454	7.6188807
10139	6.4910226	6.583792	6.5399776	6.591611	6.568824	6.626436	7.0355697	6.772716	6.651711	6.582629	6.386051
10143	6.031556	6.0264373	6.0267315	6.026906	6.0488777	6.146688	6.04817	6.019394	6.109004	5.9101706	6.140608
10144	8.509196	7.872281	9.565156	7.8318706	8.8048115	9.435218	8.902628	9.39172	8.866681	8.202007	8.585323
10147	7.178442	6.6464243	7.2587976	7.0304623	7.282681	7.0851145	7.21283	6.937174	6.722645	7.5629644	6.7632017
10148	7.904303	6.881945	7.6739306	6.661045	7.4557767	7.1795444	7.6400995	7.3945975	7.778486	7.734599	7.0359817
10150	9.88893	9.358236	9.953273	7.955943	8.561166	8.562338	8.687177	8.6082535	8.288179	8.938912	8.431697
10153	10.544444	10.448425	10.549349	10.658137	10.504977	10.340916	10.497194	10.154319	9.838454	10.506035	10.5796175
10154	6.301623	6.310756	6.126017	6.0356216	6.311503	6.1742015	5.981865	6.232037	6.4540668	6.3170667	5.979961
10155	7.989403	7.9987593	8.01033	8.454725	8.39184	8.146204	8.14999	7.925887	8.252541	8.109313	8.420078
10156	5.7881413	5.9838777	5.822048	6.2130647	5.919943	5.9178705	6.012839	5.9438133	6.39213	6.117816	6.1320095
10157	8.610894	9.040299	7.742243	8.015067	8.666624	8.124275	7.7257195	8.1984825	6.6157036	7.9748716	8.231681
10158	6.3970575	6.5648384	6.1940517	8.270354	5.9050083	5.6635513	6.0991483	8.490352	7.2550435	7.1109643	5.841335
10159	10.663245	10.612036	10.710064	10.861715	10.4634075	10.446801	10.280524	10.52692	10.715238	10.0442095	10.133346
10160	6.969382	7.017231	7.233833	6.5487723	6.939231	6.765398	6.9590197	6.8624377	6.90042	6.9645076	6.8363934
10163	7.7279453	7.979375	7.2769294	8.016676	7.782043	7.771341	7.859839	7.4503684	7.421138	7.9022317	7.7131763
10164	8.172053	6.206871	7.962798	5.881651	6.629981	7.5117173	6.5467067	6.8918877	8.167944	7.676548	7.1263638
10165	9.901887	10.31334	10.271673	10.045795	10.00439	10.041964	9.962678	9.763872	9.155864	8.976779	9.737646
10166	12.832773	12.7213745	10.976116	11.284693	12.5320835	12.138257	11.957338	12.496276	10.65917	12.25614	12.64122
10168	6.3934374	6.30752	6.229908	6.1786504	6.127724	6.1656256	6.0425987	6.023138	6.300162	5.937934	6.070256
10169	12.29295	12.612223	12.56504	12.424158	12.5802555	12.593081	12.325027	12.6320305	13.04754	12.421774	12.485078
