GSM2367621	GSM2367622	GSM2367623	GSM2367624	GSM2367625
10155	7.965091	8.15729	8.868397	8.50406	8.241601
10156	5.8584523	6.0066147	5.905286	6.0650935	5.9876566
10157	8.505296	7.169029	7.938163	7.9897265	7.7007976
10158	6.7831807	6.6451936	6.9329953	7.515788	5.815078
10159	10.822986	10.651924	10.77699	10.38147	10.438516
10160	6.905759	6.688177	6.501433	6.4805818	6.646726
10163	8.150819	8.029385	8.018485	7.738851	7.5586333
10164	5.8551292	9.007751	6.555905	7.1146274	6.8236523
10165	10.43363	9.873314	9.439518	10.406442	10.134144
10166	12.087457	11.081168	12.219988	12.14318	12.411394
10168	6.1093884	6.3612885	6.241907	6.281769	6.195477
10169	12.433382	12.380608	12.504927	12.35095	12.361603
1017	7.755209	8.055276	8.063984	8.155091	8.436867
10170	5.836947	5.904023	5.8756766	5.908377	5.7955685
10171	9.227114	10.461747	9.533212	9.748086	10.249785
10174	6.060969	6.1163096	6.1872473	6.0887356	6.149831
10175	10.695032	10.6425	10.88245	11.107824	11.291413
10178	8.940172	7.647277	7.4293904	6.19974	7.8690147
10179	6.6374464	6.946433	6.953578	6.8679996	6.616085
10181	9.645897	10.346872	10.235251	10.04651	10.4168415
10186	6.8170047	7.8165784	6.8346667	6.5509467	6.6996365
10189	6.059307	6.0138106	6.194124	6.3476467	5.9804325
1019	8.807274	9.005522	8.826178	8.933005	8.796481
10193	6.847377	6.819503	6.8951693	7.16344	7.0148134
10194	7.356323	7.7397146	7.777352	7.7287517	7.738851
10195	9.896536	9.539232	9.491863	9.619161	9.346827
10197	8.455778	7.987007	8.473009	8.58573	8.134164
10198	6.836552	7.089663	6.8774676	6.9176936	6.853562
10199	8.941449	8.820872	8.551629	8.963098	8.958205
102	5.9679728	5.8697248	5.959727	5.817679	5.793676
1020	8.644903	7.4703045	7.659019	7.825179	8.129276
10200	7.0047398	6.6793966	6.9427648	6.762727	6.344216
10201	7.841477	7.792442	7.649974	7.8609715	7.47959
10203	7.070315	7.374181	6.9827566	6.8412685	6.5657725
10207	6.150641	6.257645	6.3339686	6.3510537	6.256761
10208	7.6736736	7.7519255	7.428655	7.799882	7.8315682
10211	9.367687	9.534244	9.704881	9.715821	9.243506
10212	9.4656725	9.341044	9.373099	9.778606	9.088352
10213	9.669755	8.708566	9.2107725	9.205538	8.202318
10214	6.926069	6.1615553	6.1859026	6.42611	6.204813
10220	6.300408	6.606278	6.462975	6.4746017	6.4634776
10221	10.6348715	11.765743	11.8892765	11.970234	12.033544
10225	6.719039	7.165541	6.2956147	6.415461	6.802998
10226	9.773618	9.887645	9.961257	9.818057	9.263638
10227	9.026661	9.6241665	9.482237	9.116369	9.253414
10228	7.502329	7.8601108	7.995313	7.6333885	7.6360493
10229	6.633882	6.926069	6.894265	6.9567575	6.7684135
10231	6.715653	7.765095	7.0731463	6.8134427	6.285262
10235	6.3515754	6.488237	6.3224034	6.5551867	6.1534643
10236	10.109887	10.23938	10.168047	10.075743	10.0144825
10237	11.117589	10.627587	10.503193	10.584649	10.010065
10238	9.015663	8.635339	8.736818	8.628466	9.010808
10240	9.375587	9.331032	9.788022	9.683364	9.412851
10241	7.933538	7.5599074	7.3996763	7.9252295	7.760939
10243	8.349596	8.790787	8.521959	8.575531	8.689147
10244	11.110684	9.172357	10.221564	10.874463	9.339277
10245	8.125931	7.821443	7.9829626	7.9990273	7.6830864
10247	8.600405	8.033351	8.863407	9.212106	8.413647
10249	8.972845	10.137926	9.108463	9.820601	9.918379
1025	9.0019865	8.952584	9.450657	8.937714	9.380066
10252	8.308742	9.145786	9.203203	8.64375	8.305502
10253	7.4771905	8.1361475	8.328289	8.377107	7.758248
10257	7.81466	7.1516423	6.79751	6.593455	6.8210425
10260	6.955973	6.8717523	7.0915637	7.1504803	6.7188754
10262	9.170859	9.946474	10.227119	10.079241	9.7831135
10263	8.142984	7.817142	8.15729	7.9846096	7.7563343
10266	7.332607	7.6148024	7.4897013	7.137741	7.270493
10268	7.021903	8.294886	7.2009444	7.143486	8.169495
10269	10.564789	10.234389	10.807128	10.668177	10.378199
1027	8.015714	8.001393	8.284684	8.310389	8.0561285
10273	9.246995	9.281761	9.232065	9.704881	9.323393
10274	7.7109237	7.642352	7.7910404	7.519303	7.236271
10276	9.655235	9.701869	9.721829	9.38612	9.877233
10277	8.1520405	7.667002	7.7790155	7.602848	7.724565
10278	6.087999	6.1078453	5.9255276	6.1397076	6.2444234
1028	6.0669737	6.5710835	6.142365	6.21345	6.0422063
10283	8.325089	8.322727	8.145852	8.209715	8.487295
10285	7.054761	7.913982	7.573888	7.754413	7.312589
10286	5.929448	5.8875065	5.9061403	5.765672	5.7616863
10287	7.16136	7.617088	7.350956	7.7432823	7.52848
10289	8.73715	9.147218	8.896402	9.375587	8.718695
1029	6.577548	5.867144	6.2653284	6.6543245	6.452696
