Genes	GSM2367610	GSM2367611	GSM2367612	GSM2367613	GSM2367614	GSM2367615	GSM2367616	GSM2367617	GSM2367618	GSM2367619	GSM2367620	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
10018	6.111142	6.0114603	6.0577626	6.5184555	5.90086	6.049484	5.7609496	5.77458	5.9194913	5.9399543	5.9657416	6.00815	6.151671	6.0027595	6.121748	6.399666	6.1310678	6.076012	5.891854	6.0110455	5.7995715	5.9891286	5.9749336	5.96167
10020	10.710064	10.553169	10.7452345	9.983766	10.881167	11.129659	10.5259905	10.255569	10.02225	9.790977	10.696133	11.11488	11.192711	11.323609	9.646514	11.031036	10.838426	11.236675	10.7693205	11.2496195	11.032237	11.424598	10.263489	11.208267
10021	6.0707564	5.8506994	5.9857416	5.964528	5.969452	5.9667068	5.93268	5.7734475	6.0070033	5.8875065	6.125787	6.125917	5.9744725	6.053505	6.1141677	6.0624557	6.0498724	6.18704	6.2594805	6.0016127	6.0297794	6.2631497	6.111118	6.0204782
10024	5.9743037	6.003782	5.8758535	6.827261	5.9079556	5.901525	5.9287515	6.1160507	5.8009067	5.8624105	6.1078453	5.9538765	5.9912443	5.9273996	5.978312	6.09072	5.949733	6.1017766	5.933126	6.013739	6.155143	5.908591	6.22606	6.065461
100240735	6.1938295	6.1371393	6.311323	6.1612487	6.3210683	6.159901	6.116261	6.277433	5.9316945	6.170266	5.962083	6.320484	6.144457	6.1696105	6.3091965	6.444119	6.297738	6.606984	6.4128675	6.1597047	6.330276	6.0588026	6.6667404	5.978284
10025	9.514106	8.94523	9.407079	9.3778	9.6395445	9.3314905	9.050705	9.235972	9.1525955	9.619161	9.033108	9.662958	9.680314	9.600394	8.940172	9.697871	9.641376	9.710957	9.259592	9.51928	9.2003765	9.819909	9.331032	9.829011
100287171	10.4009905	10.895261	9.781162	10.937441	10.520423	10.568514	11.113385	10.953286	10.845053	11.3174095	10.7738905	10.698286	10.689748	10.555879	10.976116	10.724647	10.783846	11.110684	10.602126	11.117589	10.900215	10.671249	10.88245	10.77699
100287482	5.7606435	5.7658343	5.5599546	6.01338	5.7434382	5.9688425	5.6609125	5.7946105	5.8975058	5.6647105	5.8304477	5.895929	5.872264	5.9976063	5.7233615	5.8779254	5.732265	5.8823357	5.967752	5.827403	5.940459	5.8700213	5.790463	5.7864637
100287932	7.8084917	7.742243	8.1984825	7.178442	7.4820943	7.841789	7.455006	7.817672	7.7530494	7.0711446	7.8570766	7.5264826	7.741101	7.8274198	7.714287	7.571581	7.8124785	7.7405114	7.0792294	7.384639	7.7939706	7.587578	7.380967	7.6418796
100288413	5.9248033	5.8587565	5.7035766	5.8961444	5.753066	6.0344286	5.8045774	5.7715554	5.951787	5.869739	5.8806562	5.5410013	5.5705338	5.7923965	6.145494	5.990588	5.9174423	5.8371463	5.9557705	5.754442	5.706611	5.794501	5.753066	5.685332
100288524	5.7472525	6.2099624	5.9171677	5.8726797	5.790712	5.561585	5.793779	5.8010597	5.777854	5.911334	5.7805433	5.8692575	5.9131594	5.8171287	5.780768	5.7693048	5.8038964	5.6475716	5.85574	5.777479	5.828834	5.736956	5.6527896	5.858317
100289635	6.5898104	6.703942	6.5449452	7.1339407	6.726529	6.68845	6.738802	6.743074	6.5549603	7.272752	6.6397247	6.569673	6.537308	6.523617	6.5028524	6.3926783	6.491899	6.584576	6.580558	6.391317	6.285546	6.46887	6.741009	6.5497203
1003	8.717201	7.818754	8.965674	8.330656	8.731969	8.729669	9.187668	8.857396	8.889755	9.337821	8.948596	9.463022	8.82256	8.719845	8.958205	8.556015	9.67425	8.53496	9.15685	8.6795025	9.419399	8.865114	9.773618	8.674419
100316868	6.1305494	6.447514	6.269065	6.2074375	6.2472396	6.2853155	6.137037	6.1625104	6.0977497	6.1775465	6.3220177	5.9143	6.278215	6.1246996	6.1993527	5.85577	6.1105537	5.925791	5.9721303	5.9773326	5.9021153	6.1493073	6.0191007	6.04338
10036	6.1463876	5.826426	6.1778684	6.1995034	5.9288764	5.7691355	5.91074	6.1650634	5.997998	6.097641	5.9755397	6.062876	5.9019895	6.170427	5.8858786	5.8902383	6.0734243	5.8412232	6.0696735	5.921842	5.876573	5.857908	5.8404317	5.9473996
100379345	6.508487	6.4376316	6.4047046	6.562722	6.4139113	6.7460103	6.8041677	6.885193	6.5695477	6.9770722	6.7747293	6.41592	6.825859	6.784102	6.68845	6.3132186	6.754927	6.622364	6.665151	6.9379473	6.633057	6.7491016	6.633754	6.48834
10038	7.4185796	8.078393	7.6961203	7.8643174	7.5942106	7.522689	7.681753	7.512214	7.380967	7.6300774	7.423438	7.5073004	7.225915	7.139204	7.163255	7.387462	7.2336164	7.184187	7.5119505	6.964302	6.771436	7.5070353	7.5252476	7.6298366
10039	7.9405074	8.20557	8.036648	8.084072	8.423894	8.135444	8.140937	8.423894	8.174338	8.294886	8.010648	7.8359427	7.8951325	7.905107	7.7435546	7.8443265	8.040632	7.8878098	7.847539	7.7549725	7.6868663	8.06996	8.004321	8.403891
1004	5.973069	5.8842173	5.724036	5.855901	6.045805	5.743121	5.946762	5.8404922	5.937247	5.9214373	5.6770773	5.9948125	5.748113	5.881481	5.810567	5.8024473	5.80463	5.9436407	5.838269	5.8626795	5.788774	5.797553	5.8050876	5.85064
10043	6.8432784	6.874584	6.98833	6.69021	6.6509905	6.7697334	6.8228188	6.584074	6.8824778	7.0383306	6.9557934	6.5007625	6.280447	6.746518	6.6567273	6.528226	6.546821	6.5122905	7.001336	6.2131414	6.5160737	6.7663946	6.7760043	6.757022
10044	7.427787	7.0284414	7.347505	7.6978765	7.321023	7.233122	7.3819094	7.262062	7.529025	8.484842	7.3934364	7.4742017	7.2638273	7.2430563	7.531053	7.1679626	7.4622436	7.21846	7.3284025	7.3507514	7.529468	7.17	7.847859	6.948081
10045	5.8265967	5.9427257	6.179221	6.1302547	5.8770866	5.9769626	5.815224	6.027635	6.285262	5.98779	5.887164	5.9372816	5.975762	5.8869376	6.463676	5.848737	5.9246655	5.9282937	5.833902	5.979775	6.0373335	6.151968	6.012839	6.021883
10048	6.4791317	6.514186	6.5313005	6.0785527	6.4506764	6.4362926	6.4293256	6.3641796	6.561048	6.363976	6.5235085	6.2194724	5.8757854	6.651441	6.1373906	6.270996	6.322919	5.9892325	6.4129553	6.2808785	6.560311	6.1898923	6.141114	6.6974998
10050	8.623602	10.100322	9.226682	8.915495	9.007751	8.576682	8.357422	9.177661	9.054635	8.958205	8.936384	7.5863333	8.455403	8.285062	7.431309	9.218585	8.536745	7.6989417	8.655218	8.722633	6.994832	8.777269	8.415072	9.284656
100505975	6.0181937	6.040407	6.026331	6.178749	6.1013665	5.931464	5.8533363	5.8913198	5.854195	5.5406127	5.768264	6.016057	5.9673243	5.8301177	5.8087554	5.81806	5.63748	5.8785644	5.7547526	5.798619	5.881018	5.8525696	5.789746	5.877728
100506084	6.302683	6.311323	6.1632347	6.24537	6.4130425	6.27653	6.0042453	6.0581393	6.1844087	6.113242	5.983946	6.340053	6.499379	6.4588366	6.240157	6.242869	6.1984277	6.4965477	6.2662606	6.26005	6.277722	6.254692	6.3360643	6.158832
100506136	6.1625104	6.169061	5.8273396	6.2884965	6.1401234	6.1004176	6.1728373	6.226429	6.1239433	6.1116943	6.322865	6.413816	6.1120143	6.118081	6.1741123	6.0815167	6.37915	6.299969	6.2853155	6.115059	6.4213886	6.204652	6.248439	6.240296
100506164	6.3922024	6.0654783	6.4061165	6.2605534	6.1493316	6.2401147	6.1488743	6.306398	5.999306	6.254775	6.2217717	6.084916	6.154932	6.1628966	6.150915	6.3315973	5.898272	6.2579975	5.9991603	6.065	6.4078665	6.1967463	6.1914268	6.019892
100506668	6.7405252	6.9220924	6.4765563	6.394213	6.7524896	6.7230773	6.725183	6.355026	6.67954	6.342516	6.687397	6.622128	6.7044897	6.4838576	6.4412684	6.538463	6.3399134	6.8500943	6.6805463	6.3506794	6.3665833	6.5884395	6.5223737	6.4583263
100507003	5.749282	5.6942954	5.838212	5.6507106	5.8839364	5.827403	5.585789	5.983975	5.672476	5.7094765	5.689344	5.9734693	5.855231	5.694427	5.847957	5.809861	5.8452873	5.823686	5.955959	6.00995	5.838076	5.9482017	5.8701015	5.7720847
100507436	6.3781047	6.731664	6.40579	6.4272404	6.247329	6.2093787	6.243312	6.881197	6.6964808	6.5240917	6.1475425	6.376735	6.726819	6.432094	6.369423	6.197668	6.4455733	6.7269716	6.173324	6.5019383	6.556829	6.436104	6.285592	6.1212964
100507470	6.091485	5.9439645	5.866206	5.934426	6.1704893	6.0654783	5.951373	6.068073	5.8528814	5.737921	6.029728	5.9925785	5.9150887	5.9338303	5.8610277	6.149805	5.8933043	5.860036	5.894087	5.994057	5.856507	5.8944645	5.722369	6.05284
