GSM2367567	GSM2367568	GSM2367569	GSM2367570	GSM2367571	GSM2367572	GSM2367573	GSM2367574
1	6.467201	6.4026976	6.6548414	6.394213	6.3167086	6.2490463	6.361969	6.346845
100	7.546613	7.6768374	7.545477	7.1670904	7.268835	7.578735	7.9477973	7.2344766
10001	8.939764	9.113151	9.224844	9.074966	8.85966	9.165954	9.073513	9.182296
10004	6.172473	6.117148	6.580977	6.2469153	6.2636447	6.1004567	6.3235664	6.2257495
10007	9.366086	9.777956	9.713301	9.697326	9.6606045	9.701869	9.768525	9.495927
10009	9.290091	9.416809	9.584392	9.719235	9.861669	9.932662	9.636183	9.924436
1001	5.8794346	5.87922	5.8721304	5.957378	5.845091	5.8553295	6.1132636	5.8862686
10010	9.618061	9.498191	9.181379	9.110425	8.506987	9.339277	8.943022	9.262221
10011	6.880659	7.1082225	6.9853377	6.9868717	7.5621614	7.056292	7.0066648	6.9298344
100126270	5.5855837	5.9778633	5.8253703	5.8625307	6.059889	5.7634726	5.9155335	5.9017754
100126798	6.666167	7.575139	6.614571	6.285086	6.1608205	6.693556	6.221692	6.5448165
100128788	6.553633	6.529829	6.168015	6.2662606	6.63716	6.5164323	6.123079	6.3043203
100129027	6.0318418	5.9312015	5.810522	5.980206	6.1765456	5.745966	5.959915	5.870062
10013	9.18001	9.385096	9.161523	8.899995	9.282628	9.172823	9.35595	9.358694
100130705	6.4410605	6.577548	6.378904	6.333901	6.235025	6.3039765	6.4008904	6.3430724
100132476	5.9972577	5.988519	6.1122203	5.9738207	6.2253256	6.0579805	6.3049765	6.021495
100132987	6.31281	6.2185435	6.137064	6.3143854	6.2852044	6.160023	6.2333713	6.272682
100144748	6.361969	6.4425144	6.323234	6.24729	6.2842994	6.2728333	6.3013835	6.129617
10016	10.494623	10.378199	10.690923	10.192597	10.27887	10.54271	10.335058	10.752214
10018	5.6723447	6.00953	6.2045393	6.153376	5.894116	6.1525407	5.9911265	5.928195
10020	11.292995	11.232549	11.218849	11.227976	10.89658	11.1571665	11.298603	10.706971
