GSM2367567	GSM2367568	GSM2367569	GSM2367570	GSM2367571	GSM2367572	GSM2367573	GSM2367574
10021	5.868111	6.036247	6.164468	6.016355	6.3017554	6.0839763	6.23516	6.034338
10024	6.0258684	5.781729	6.0005555	6.116524	5.85849	5.897338	5.778533	6.0407543
100240735	6.3633704	5.8575296	6.3987074	6.382746	6.1615233	6.272208	6.3600993	6.239351
10025	9.758423	9.685196	9.693042	9.698394	9.809325	9.482687	9.389149	8.551979
100287171	10.316027	10.65088	10.858115	10.789531	10.578477	10.400209	10.851068	10.955937
100287482	5.835995	5.8226814	5.748367	5.9078226	5.775922	5.8040423	6.1407943	5.7748175
100287932	8.153091	7.387938	7.6416364	7.765997	7.7668395	8.176949	7.5512323	7.973378
100288413	5.8026404	5.7966766	5.811626	5.760882	5.6770773	5.853948	5.8683977	5.8544526
100288524	5.744945	5.64046	5.828077	5.784642	5.938292	6.0466332	5.9269104	6.015944
100289635	6.1415005	6.239351	6.7128625	6.7052226	6.751148	6.5780377	6.592315	6.582629
1003	8.716365	8.840243	8.728507	8.592842	8.669391	8.665023	8.770429	9.061768
100316868	6.1089	6.2242785	6.0776067	6.224918	6.153992	6.1990747	6.0688334	6.014073
10036	5.8998833	5.979642	5.8651557	6.1495514	5.9836793	5.8961687	5.951659	6.0592012
100379345	6.4480796	6.7670407	7.0739512	6.748027	6.8904305	6.7811384	7.0302715	6.7367907
10038	7.3843946	7.4793577	7.557561	7.367232	7.554536	7.570246	7.180226	7.336874
10039	7.7910404	7.9935756	8.074619	8.070285	8.146848	7.9237895	7.9390593	7.971831
1004	5.641039	5.617203	5.7981853	5.731184	5.7495747	5.6942954	5.994721	5.745724
10043	6.622731	6.6453304	6.4180136	6.469619	6.499691	6.8286695	6.4152017	6.4424253
10044	7.1664114	7.2840686	7.186521	7.415587	7.0515504	7.019201	7.2943664	7.338595
10045	5.8498764	5.9964705	5.9737935	5.9704466	6.053655	5.981133	6.040305	5.8515453
10048	6.371198	6.4254203	6.303733	6.3960323	6.48594	6.232288	6.112868	6.382824
10050	8.72758	8.438582	8.450936	8.51899	9.088831	9.049808	7.836524	8.583758
100505975	5.72681	5.877796	6.032222	5.6770244	5.9077888	5.7870874	5.7273417	5.8080335
100506084	6.6132364	6.634556	6.2635922	6.1742883	6.2622557	6.126779	6.2237005	6.2880955
100506136	6.15755	6.3328056	6.1064053	6.246685	6.2501917	6.158381	5.9895663	5.9656305
100506164	6.011516	6.002305	6.151279	6.2769465	6.0897684	6.095126	6.1623225	6.02025
100506668	6.5030675	6.2668066	6.4777584	6.5980067	6.54345	6.5048304	6.521434	6.3455453
100507003	6.068108	5.7607408	5.78373	5.9403195	5.927378	5.86284	5.901451	5.9963717
100507436	6.302683	6.2936187	6.461795	6.4814253	6.493705	6.4243884	6.2475533	6.3973227
100507470	6.0778303	6.0055566	6.274117	5.9092097	6.023501	5.8789883	6.058873	6.048098
10051	5.914932	6.000277	5.943928	5.9986625	6.0090017	6.0550933	5.926632	6.0181375
10053	5.932621	5.8819337	6.033613	5.694641	6.21033	5.9290004	5.7965636	6.0969033
10055	10.45696	10.478214	10.697189	10.767206	10.729226	10.493496	10.565656	10.619372
10057	7.2587976	7.7325187	7.898007	7.7145233	7.687102	7.649199	7.564906	7.4017634
1006	5.674373	5.4632936	5.637209	5.538331	5.4985456	5.6595592	5.648121	5.6364713
10060	7.3598113	7.068303	7.028989	7.411964	6.8688235	7.9028144	7.5008125	7.250181
10061	7.1035705	7.1962113	7.1043444	6.9410944	7.5001326	7.0662165	7.273427	7.36
10062	10.190336	10.102546	10.174759	10.191914	10.483039	9.495366	10.269906	9.285086
10066	6.9682617	7.1482706	6.923916	6.945925	7.1267715	6.996785	6.5932374	7.117836
10067	9.502599	9.172357	9.33675	9.23254	9.619161	9.249493	9.13217	9.429193
1007	6.293448	6.369423	6.1874633	6.3495455	6.3795624	6.064087	6.6364036	6.2846937
10071	6.008515	6.3812437	6.0810375	6.1610746	5.930034	6.1403666	5.9959064	5.8240514
10072	6.37283	6.3347225	6.37804	6.4435596	6.801184	6.684452	6.3139086	6.6615977
10073	8.083757	8.35435	8.048861	8.506987	8.514924	8.620438	8.199191	8.185354
10075	7.4826217	7.4295883	7.352649	7.5800424	7.665171	7.349535	7.5447583	7.543028
100750326	5.8914933	5.8318233	5.5942564	5.6943383	5.8846216	5.7806005	5.716967	5.967997
10076	5.809194	5.861245	5.97732	5.697121	5.9300094	6.0793214	5.90185	5.9576535
10079	9.825167	9.861093	9.956615	10.188095	9.912647	9.408076	10.096717	10.136369
10081	7.848414	7.684227	7.7626624	7.9166884	7.7749877	7.7779	7.7348847	7.8293586
10082	8.35435	8.22395	8.4512615	8.167233	8.353659	8.37681	8.3349085	8.20784
100861522	5.8297668	5.8391476	5.9835753	5.790917	5.838344	5.796604	5.657289	6.082153
100862704	7.054555	6.7981954	6.926588	6.9829755	7.1395903	6.7988176	7.007555	6.8815746
10087	9.179471	9.602189	9.322387	9.290091	9.615838	9.258563	9.506132	9.040299
100873955	6.120586	6.044205	6.284468	6.0789475	6.047274	6.075156	6.288025	6.1825237
100874047	6.1176753	6.0308404	6.0323544	6.0404687	5.9367056	5.9394116	6.1040783	6.029367
100874064	6.2653284	6.44155	6.5135083	6.0252805	6.267552	6.236366	6.5576963	6.3111835
100874107	5.9525027	5.9347157	5.970134	5.79167	5.9211445	5.9879894	5.769368	5.651219
100874222	5.9430075	6.008249	6.154877	5.9652314	6.059839	6.125865	6.071423	6.027107
100874234	6.561673	6.751453	6.5533924	6.342806	6.596281	6.478205	6.551316	6.586932
100874251	6.679848	6.4207344	6.515394	6.327884	6.50086	6.4109845	6.480898	6.3032074
100885850	8.453352	8.728507	8.3097315	8.464029	8.86302	8.578288	8.591037	8.4980545
10092	9.715821	9.418343	9.730598	9.576093	9.930451	9.657507	9.706829	9.697326
10093	9.031305	8.938532	9.240481	9.020817	9.1094475	8.926903	9.022558	8.932097
10094	8.560424	8.497645	8.661563	8.244178	8.162755	8.525261	8.364871	8.146539
10095	7.235563	7.2124147	7.1725044	7.1422243	7.311595	6.8576174	7.4041095	7.622394
10096	7.260174	7.5287404	7.447937	7.2302465	7.5008125	7.6849456	7.3056655	7.5896378
10099	9.074002	8.589536	9.136464	8.977312	9.069738	9.4656725	8.861339	8.841832
10101	7.5322747	7.4711723	7.17657	7.2246623	7.234924	7.0583153	6.99274	6.963757
10103	6.7866755	6.493022	6.2911096	6.6327906	6.4279165	6.5316324	6.5303874	6.591856
10105	6.8686686	6.7398887	7.28604	6.949424	7.384639	7.5396547	6.7573233	7.17458
10106	10.331852	9.947838	10.339169	10.376383	9.974591	10.116856	10.288592	10.020109
10112	6.1178846	5.884815	6.0202956	6.0791426	5.9598656	6.1579685	5.988044	5.891412
10113	7.402283	7.455546	7.18718	7.6403255	7.450151	7.0164137	7.600712	7.337359
1012	6.1931553	5.958265	5.9901032	5.9117737	5.7800336	5.9543753	5.780702	5.954235
10121	9.247502	9.006411	9.190598	9.082955	9.264214	9.21409	9.166853	9.235448
10123	6.494097	5.9656014	6.4235835	6.1363506	6.0745254	6.234455	6.319826	5.961765
10124	7.827139	7.723734	7.6574593	8.06464	6.9520826	7.6991925	7.8802443	7.622867
10125	6.2993846	6.1259947	6.5112767	6.275992	6.1493874	6.0242267	6.261108	6.178494
10127	7.7815223	7.9163485	7.5372014	8.003739	7.839756	7.8654532	8.179678	7.9025435
10129	6.5657725	6.669296	6.384925	6.3491635	6.2911654	6.501068	6.4974084	6.491336
10134	10.732554	10.752214	10.941224	11.120401	11.220419	10.955937	10.885092	10.937441
10135	9.812016	9.855102	8.716365	8.319269	9.133574	8.731568	9.351452	10.065573
10137	7.587041	7.5408573	7.695586	7.715312	7.598509	7.683954	7.727389	7.674708
10138	7.54426	7.750684	7.663551	7.8090563	8.01033	7.724565	8.042115	7.944485
10139	6.1564837	6.3856544	6.3293223	6.5619783	6.412699	6.650035	6.221824	6.510172
10143	6.252124	6.1657248	6.2015142	6.064274	6.029284	6.294029	6.0834556	5.858727
10144	10.069153	9.380066	9.778606	10.43363	9.908599	10.7693205	9.442976	8.9851
10147	6.883385	6.686823	6.724311	6.4796615	7.0225544	6.923916	6.9156566	6.7831807
10148	7.9538226	7.730316	7.448976	7.320588	7.7292614	7.607496	7.661437	7.621322
10150	8.533036	8.291591	8.005753	8.607059	9.0340805	8.783916	8.920762	9.225297
10153	10.454093	10.57451	10.389565	10.33024	10.171783	10.323584	10.519452	10.499246
10154	6.142865	6.20851	6.2531834	6.219514	6.4425144	6.193371	6.1269097	6.070882
10155	7.632288	7.8849263	8.010648	7.9721556	8.131132	7.875104	7.903119	8.000505
10156	5.905097	6.035107	5.929099	5.8681955	5.851575	5.929783	5.857791	5.985799
10157	7.5589066	8.06996	7.5047946	7.7340875	7.7779	7.824105	8.138068	7.6833663
10158	5.977041	5.9154086	6.459058	6.5504665	5.6587024	5.8508406	5.893555	5.8416996
10159	10.186479	10.319461	10.350004	10.42293	10.308875	10.412452	10.216615	10.189581
10160	7.185303	7.3240476	6.791152	6.812092	7.0935926	7.011232	6.821205	7.18782
10163	7.6929607	7.652539	7.847859	7.309979	7.849322	7.715078	7.7355127	7.648889
10164	7.8965387	7.977616	9.389602	8.965674	8.270727	8.764599	8.38463	8.503606
10165	10.048162	9.871199	9.922497	10.134887	10.044957	10.533697	9.923148	9.62074
10166	11.390719	11.24831	11.086757	11.296018	11.442302	11.154051	11.30769	10.851068
10168	5.904708	6.2989726	6.2111816	6.094513	6.1866603	6.209192	6.0597734	6.237822
10169	12.37501	12.300904	12.274843	12.075692	12.406035	12.44864	12.3279295	12.411394
1017	8.529902	8.439545	8.410502	8.44142	8.215764	8.387347	8.555297	8.548507
10170	6.052566	6.024581	6.1760564	6.0347137	5.661196	5.839042	5.904135	6.012327
10171	11.029701	10.918904	10.414361	10.511929	10.392079	10.524182	10.576341	10.368795
10174	6.008683	6.2172437	5.9929166	6.165448	6.0394006	6.0405016	6.057596	6.0549893
10175	10.782864	10.712066	10.510986	10.871959	11.089402	10.875427	10.788348	11.162977
10178	8.128272	8.699309	8.517801	7.881418	8.140256	8.571345	7.915743	8.77331
10179	7.3079805	6.713976	6.6103606	6.6590257	6.8750873	7.3040977	6.8776107	7.1409674
10181	9.716997	10.002864	10.109887	10.144803	10.235998	9.972421	10.159077	10.060448
10186	7.4711723	7.7005143	7.4937553	7.699447	7.1335607	7.6320004	7.692157	7.384639
10189	6.0614867	6.1527133	6.1024637	6.0627713	5.9942636	6.0624557	6.3025136	6.1881533
1019	8.666196	8.731117	8.853865	8.807664	8.713913	8.70938	8.920312	8.795628
10193	6.978228	6.924082	6.861719	6.990328	7.0938287	6.990168	6.8021736	6.836895
10194	7.8777103	7.529468	7.699447	7.808753	7.624907	7.9923906	7.5050244	8.0136175
10195	9.43352	9.054635	9.424649	9.389149	9.5381975	9.520983	9.254398	9.5681095
10197	7.7690854	7.87395	7.988558	7.966058	8.210072	7.8802443	7.9636607	7.815204
10198	6.842821	6.5248995	6.778748	6.797689	6.934427	6.995593	6.6049542	6.7336826
10199	9.464108	9.243061	9.074505	9.063682	9.154875	9.035051	9.232989	9.402987
102	6.130402	6.012526	5.9182124	6.048532	6.0621533	6.129464	6.0930543	6.000486
1020	7.2809196	6.853562	7.41998	7.5386157	7.765095	7.3634334	7.2585254	7.005356
10200	6.7030244	6.547834	6.7096043	6.354954	6.773728	6.9251924	7.144174	6.766738
10201	7.582108	7.3418794	7.3549614	7.665171	7.5528116	7.4673395	7.4562387	7.5363917
10203	6.773541	6.8279767	6.7914834	6.9309344	6.299328	7.2490783	6.4513574	7.1039248
10207	5.6875668	6.16394	6.183757	6.367471	6.6695714	6.181814	6.2366734	6.1535544
10208	7.458657	7.553732	7.5447583	7.739146	7.7958927	7.649974	7.6389666	7.273645
10211	9.210305	9.364077	9.294725	9.1530695	9.482237	9.131779	9.134536	9.669209
10212	8.93383	9.579106	9.323393	9.179471	9.18282	9.12222	9.194674	8.998888
10213	8.8048115	8.476461	8.564824	8.61275	8.843947	8.965674	8.571765	8.855207
10214	6.136223	5.92982	6.19235	5.9476438	6.0503306	6.1320095	6.2996206	6.08878
10220	6.5992966	6.914064	7.003575	6.9932823	6.854983	6.657338	6.963757	6.6914825
10221	12.411394	12.93439	12.436268	11.796623	12.345634	12.1635685	12.504927	11.61326
10225	6.6934104	6.932221	7.629063	7.2285295	6.6751695	6.7720823	7.2007422	6.970472
10226	9.714606	10.109887	9.982314	9.741527	9.724163	9.661129	9.982314	10.176325
10227	9.097049	10.1887455	9.911866	9.735054	9.515929	9.31029	9.772954	9.475601
10228	7.544516	7.5858335	7.4872093	7.715604	7.600455	7.667002	7.8113675	7.782864
10229	6.5723825	6.8538895	6.7967286	6.7554164	7.122662	6.8566995	7.0106287	6.9228196
10231	7.4599533	8.107393	7.7806473	8.090993	7.146091	7.180656	8.074914	7.6296153
10235	6.260106	6.8910065	7.4544907	6.767669	6.9710145	6.5003347	7.2865214	6.65764
10236	10.212854	10.539681	10.186479	10.461747	10.253112	10.377325	10.248935	10.329399
10237	10.396682	10.176325	10.258005	10.416034	10.240195	10.401714	9.962678	10.248046
10238	8.412463	8.548507	8.800141	8.771295	8.687535	8.724423	8.368311	8.721401
10240	9.656423	9.533792	9.441907	9.544229	9.528138	9.727798	9.441907	9.397787
10241	8.176949	7.9363585	8.084072	7.9759808	7.9514103	8.107749	7.700224	7.826524
10243	9.128438	9.37613	8.8778925	9.165529	9.046174	9.028544	8.922137	9.006005
10244	9.760197	8.829021	9.441273	10.517608	10.083508	9.540729	9.619161	10.115336
10245	7.851208	7.4904227	7.678416	7.540631	7.966058	7.5478644	7.5789685	7.6303287
10247	8.819253	7.9472437	8.095525	8.1600065	8.652509	8.847941	8.385289	8.845201
10249	11.089402	10.032181	10.30091	10.887715	10.712066	11.081168	10.128745	10.30091
1025	9.268563	9.319078	8.965231	9.124116	9.750558	8.83401	9.390124	9.315923
10252	8.210422	8.912678	8.610155	9.018465	8.570548	8.499991	8.893882	8.674875
10253	9.012094	9.2978325	8.309429	8.449431	8.779146	8.592116	9.081993	8.85695
10257	6.4457593	6.080027	6.6571927	6.374163	6.2261853	6.4707656	6.298912	6.504192
10260	7.202161	7.3443623	6.679988	6.792622	6.878876	7.017626	7.3348927	7.387462
10262	9.050705	9.344612	9.18001	8.842236	9.085061	8.839884	9.15871	9.198865
10263	7.1082225	7.9112844	7.284917	7.324279	7.6913977	7.42213	7.3175178	6.6537685
10266	7.2371206	7.368114	7.0709324	7.3348927	7.090273	6.934266	7.0773954	7.2417293
10268	7.8423433	8.219031	8.539096	8.191462	8.325089	8.155391	8.430663	7.039933
10269	10.11844	10.431703	10.427543	10.751002	10.4420185	10.735848	10.531665	10.43009
1027	8.168219	7.8634763	7.985769	8.176949	8.103321	8.313446	8.013315	8.049492
10273	9.228485	8.912301	8.896402	9.064609	9.061768	9.038804	8.830235	9.073513
10274	7.6978765	8.09584	7.7465825	7.7572517	7.8217077	7.7727876	7.607993	7.7996182
10276	9.873314	9.40758	10.087147	10.240195	10.308125	10.23938	9.909194	9.982314
10277	7.8165784	7.2642856	7.6657095	7.8116374	7.6807637	7.442199	7.345285	7.5347033
10278	5.9096904	6.132252	6.075901	6.136325	6.0048633	6.120119	6.0316787	6.0242553
1028	6.15611	6.508895	6.5049386	6.669855	6.1235394	6.340579	6.6153984	6.404358
10283	8.149027	8.301703	8.143907	8.258362	7.944485	8.189159	8.112523	7.9405074
10285	7.7987385	7.726016	7.5741496	7.644528	7.5210924	8.04482	7.644528	7.9000754
10286	5.860098	5.6537294	5.8880033	6.099234	5.7423463	6.1174903	5.9861517	5.8787084
10287	7.6047153	7.655299	7.724	7.691637	7.833861	7.506067	7.5966377	7.569997
10289	9.32858	8.961375	8.76178	8.959973	8.910997	9.17381	9.280743	9.099276
1029	5.7710013	5.844242	6.1105537	5.9091964	6.1637254	5.8781343	5.9418983	5.6841855
10293	6.1289883	6.138093	5.6469684	5.9497037	6.146358	6.25522	6.1305985	6.1833515
10294	10.411632	10.349165	10.513882	10.33426	10.375611	10.516721	10.716265	10.555064
10297	5.933558	6.0830874	6.2216096	5.980179	5.9341354	5.950678	6.025569	5.9608583
10298	7.5184627	7.308918	7.38818	7.391009	7.458947	7.2882833	7.3500056	7.282474
10299	8.862639	9.08739	8.735	8.819608	9.534866	8.789174	9.077357	8.949143
103	10.59084	10.50707	10.763826	10.533697	10.563805	10.468932	10.6541395	10.476246
1030	6.285086	6.3206835	6.2269855	5.9251547	6.291917	6.461501	6.139818	6.484716
10300	7.25634	7.3059115	7.135481	6.909159	7.124116	7.0122232	7.056129	7.0336366
10301	5.9682813	6.064617	5.9239283	5.9329247	5.8432465	5.8440223	6.1038938	6.0149517
10302	6.7500916	6.633323	6.8640766	7.027617	6.790971	7.104554	6.651441	6.926069
10307	9.382067	10.0187025	9.975304	9.752508	9.917603	9.518116	9.632231	9.520983
10309	6.3062825	5.995842	6.0986857	6.237211	6.3106422	6.0004997	6.053047	6.102572
1031	7.0094767	6.915304	7.0650454	7.377344	6.528037	6.264462	7.0444303	6.865513
10312	8.338304	8.582215	8.655218	8.369032	9.100713	8.359383	8.448686	8.57401
10314	8.792326	8.545458	8.974618	9.218585	8.817631	8.908049	8.829436	8.700842
10318	8.275898	8.567568	8.382279	8.483442	9.047571	8.159077	8.308433	8.719845
10319	7.7489233	8.363168	8.765	8.593561	7.334437	7.848414	8.098943	7.7761974
10322	5.9755955	6.1706758	6.141709	6.1477203	6.125973	6.1905622	6.0402455	6.310923
10329	10.013137	9.480719	10.059668	10.0057955	9.627671	10.065573	9.968227	9.65694
1033	6.0381093	5.9734693	6.0857224	5.9624205	6.158979	6.201702	5.735556	6.0705514
10331	6.0846353	5.7813206	5.861863	5.812314	5.8283095	5.7452917	6.1349487	5.8410134
10335	6.4646187	6.405431	6.3692694	6.3503413	6.0857677	6.1962385	6.4901414	6.3770432
10342	9.88956	9.962678	9.751312	10.093497	10.191914	10.488414	9.555147	10.249785
10346	8.283615	7.814396	8.670522	8.723759	8.458377	8.72341	8.360449	8.660804
10347	6.260507	6.512852	6.717288	6.4608126	6.3605676	6.3864484	6.286104	6.3213515
10349	6.207118	6.261108	6.240924	6.399351	6.12318	6.058309	6.0039735	6.2606525
10351	9.741527	9.700084	10.430853	10.156797	10.216615	10.554066	10.296997	9.733723
10360	8.399277	8.1520405	8.211476	7.9790688	8.332418	7.9829626	8.233005	8.038753
10363	7.028229	7.013401	7.0456095	7.1664114	7.28472	7.0859284	7.338595	7.1525626
10365	10.33426	10.74757	11.504179	10.504025	10.093497	9.799915	10.086473	9.753819
10367	9.317969	9.124692	8.851727	9.211655	9.202283	9.074966	9.047033	9.154415
10370	8.475206	8.561166	9.229985	9.093546	8.905539	8.74975	8.523391	9.052833
10371	6.1225424	6.1303	6.004186	6.2598033	6.205639	6.1725664	6.130402	6.168385
10376	11.87168	12.850309	12.460374	11.912872	12.606047	12.465553	12.599885	12.860833
10383	9.340679	10.049638	9.308484	8.844331	9.703678	9.7403345	9.549966	10.241048
10390	10.487484	10.195606	10.482074	10.57451	10.493496	10.615275	10.562741	10.399478
103910	12.443503	12.57758	12.789539	12.308672	12.479614	12.707638	12.669363	12.782326
10392	6.808997	6.8301773	6.6243334	6.8581834	6.895374	6.592862	6.711681	6.9586406
10395	6.4357233	6.3207474	6.3518906	6.529446	6.4334292	6.2161884	6.4314094	6.584074
10397	8.979898	8.437546	8.20784	8.755343	8.2377205	8.726718	8.903065	7.7504077
10398	6.0728807	6.213895	6.0221477	6.1010857	6.2515254	5.9997406	6.0878534	6.2799444
1040	6.0437303	6.7524896	6.589275	6.4207344	6.0345507	6.466599	6.272366	6.157181
10400	11.50867	10.906351	10.770478	11.059645	10.990296	11.182348	10.810808	11.132061
10401	6.012526	6.0304174	6.1985064	6.203041	6.197848	6.3515754	6.2140193	6.2602105
10402	9.425771	9.648243	9.42262	9.511271	9.60097	9.827078	9.523082	9.425238
10403	5.8965898	6.016598	6.045621	6.0719075	5.966151	6.047511	5.9970665	5.9244385
10409	9.875445	9.767211	9.822499	9.354484	9.659433	9.521492	10.095903	9.441273
10410	13.320496	13.212749	12.893257	12.910939	13.363411	12.979804	13.208442	13.774191
10412	9.815019	9.561169	9.596179	9.9190445	9.632231	9.829818	9.857031	9.685196
10413	8.182787	8.167233	8.318928	8.632181	8.471214	8.20264	8.421543	8.857396
10417	6.5813646	6.4152856	6.4677925	6.657493	6.2770524	6.0208755	6.6529427	6.5144515
10418	6.595473	7.1636524	7.264923	7.1869774	7.2444787	6.926069	7.101832	6.8856854
10419	8.040289	7.666771	7.648596	7.968216	8.196577	7.835021	7.980553	7.9697456
10421	9.817502	9.891964	9.844467	9.804636	9.578509	9.31382	9.818057	9.674831
10422	9.211225	9.163517	9.370838	9.39608	9.68231	9.684653	9.424649	9.329514
10424	11.844578	11.250975	11.524358	11.549357	11.533595	11.8301115	11.399206	11.567938
10425	9.127943	9.186654	9.413348	9.136945	9.091237	9.06638	9.31382	9.380066
10427	8.331336	8.176949	7.7916102	8.50955	7.8805213	8.484106	8.004889	8.154727
10428	7.545248	8.474831	7.65637	8.04119	7.9523077	7.52295	8.080628	7.8122168
1043	8.687177	8.793972	9.602189	8.966454	8.853458	8.881305	9.180899	8.661142
10430	10.036395	10.250469	10.180967	10.0551405	10.321886	10.328507	9.762675	10.281437
10432	9.106698	9.596832	9.540233	9.149133	9.582066	9.379456	9.341571	9.157262
10434	5.8895097	5.933299	5.939917	5.810583	5.7129655	5.926865	5.7171655	5.9277735
10435	6.55426	7.0737486	6.2936835	6.4903617	6.8407283	6.589156	6.536713	6.390177
10436	8.915495	8.74975	8.591037	8.822128	9.017549	8.933412	8.847941	9.009007
10437	8.791556	7.8589854	8.520793	7.9618883	9.148665	8.455403	8.205189	8.674059
10438	5.8687835	5.9168243	5.6869617	5.7700186	5.908768	5.8193846	5.863752	5.968332
10439	6.31408	6.375741	6.2176027	6.3220177	6.080628	6.249677	6.461795	6.176745
10443	8.910103	9.239508	9.20941	8.850445	9.11685	8.834415	9.368272	9.158265
10445	8.98467	9.174661	9.526983	9.37027	9.1772175	9.055145	9.207487	9.284656
10446	5.74793	5.826247	5.94722	5.9455457	5.8390303	5.8916373	5.81408	6.194722
10449	11.972821	11.194132	10.877518	11.628243	11.365397	11.749861	10.7486105	11.104505
10450	6.179257	6.088966	6.148823	6.025307	5.9530277	6.165276	6.059026	6.2041016
10452	9.66795	9.394372	9.282138	8.984223	9.63158	9.225297	9.44407	9.866802
10454	7.3376174	7.3463464	7.532515	7.2747784	7.367676	7.512477	7.041705	7.3014154
10455	11.217345	10.788348	10.870834	11.273318	11.247009	11.151178	11.039864	10.671249
10457	8.818011	9.543746	8.635339	8.487295	9.060794	8.96696	9.217036	8.554941
10458	9.101171	9.50778	8.980758	9.094021	9.206545	9.043864	8.997476	9.176737
10460	6.0454884	6.221692	6.2816405	6.238957	6.3972406	6.176326	6.2911654	6.155231
10461	7.834409	7.9028144	7.751264	7.818754	7.5975294	7.807692	7.8567805	8.210072
10463	8.657495	8.379497	8.627381	8.765866	8.840243	8.975961	8.70004	8.744186
10465	8.309074	8.241317	8.156403	8.133473	8.108722	7.7904963	8.055276	7.5997005
10466	7.3721313	7.4419284	7.2155166	7.5795054	7.4705553	7.333549	7.3364406	7.351712
10469	7.285123	7.5344224	7.2406173	7.4703045	7.428405	7.415587	7.4854875	7.7876563
1047	5.869073	5.80823	5.780768	5.866858	5.881481	5.935069	5.9655247	6.227685
10471	7.66602	7.6097603	7.1482706	7.270901	7.636315	7.3333254	7.358909	7.3719163
10472	5.992014	5.792979	6.135488	6.1720095	6.1722083	6.003687	5.996455	6.078248
10473	8.437546	8.433511	8.694858	8.73076	8.235901	8.282019	8.623227	8.5170555
10474	7.0802913	7.0720167	6.9855723	7.1855154	7.1917024	6.9849677	6.8888717	7.219606
10476	12.789539	12.697895	12.799434	12.724396	12.704559	12.792713	12.685136	12.507238
10478	7.4842753	7.2464795	7.0857363	7.3240476	7.0925956	7.473403	7.274525	7.352649
10479	7.621322	7.551026	7.5784683	7.7668395	7.9340925	7.9309106	7.757766	7.5450196
10483	8.993454	9.07068	9.330089	9.065022	9.172357	9.487413	8.918125	8.707736
10484	5.8987193	5.839371	5.97127	5.9478755	6.0229373	5.816489	5.7381835	5.949494
10486	7.0612063	8.199886	7.9477973	7.8948874	7.3567963	7.6392207	7.7033324	7.782043
10487	11.146966	11.409076	11.310322	11.438724	11.510345	11.296018	11.24831	11.172617
10489	7.480554	7.4332314	7.431755	7.2880507	7.04747	7.414552	7.606185	7.452839
10490	7.356323	6.906314	7.313547	7.436933	7.0591416	7.349306	7.165925	6.9717684
10493	7.810488	8.082581	7.378542	7.8663917	8.067125	7.636574	8.06432	7.8033333
10494	8.487295	8.4891405	8.481225	8.465867	8.419001	8.44464	8.496533	8.486291
10495	6.3143854	6.11098	6.0029454	6.181467	6.1731167	6.066234	6.204249	6.2794204
10497	6.698749	6.504733	6.543084	6.9719567	6.8870883	6.847176	6.5777764	6.7940946
1050	10.007198	10.516721	10.875427	10.617345	10.72803	10.82071	10.731487	11.385914
10500	6.090277	6.290947	6.342725	6.091506	6.1223736	6.2308326	6.009558	6.136223
10501	6.005432	6.056215	5.9023857	5.9751177	5.6650558	6.2921963	6.202121	5.999842
10505	6.5996733	6.8109436	6.4403195	6.574618	6.5650773	6.426033	6.6723213	6.32866
10507	7.8318706	8.21739	8.464405	8.070559	8.121439	7.733066	8.156698	7.948341
10514	6.118613	5.982043	6.34614	6.2684836	6.2684836	6.259342	6.144323	6.520255
