SourceNode	TargetNode	Weight
7391	6277	1
6774	9021	1
4609	7417	1
4609	6723	1
4609	5478	1
3725	6520	1
3725	4318	1
2353	3678	1
7528	741	1
7528	6434	1
7528	134549	1
7528	5691	1
7528	5515	1
7528	5478	1
7528	4758	1
7528	51537	1
7528	11133	1
7528	3421	1
7528	8943	1
7528	10096	1
7391	23503	1
7391	7317	1
7391	8859	1
7391	29886	1
7391	26793	1
7391	6097	1
7391	5916	1
7391	8495	1
7391	56675	1
7391	79157	1
7391	84515	1
7391	84445	1
7391	79836	1
7391	23415	1
7391	3669	1
7391	3482	1
7391	721	1
7391	50650	1
6776	5292	1
6776	896	1
6774	4609	1
6722	7429	1
6722	64857	1
6722	10398	1
6722	4026	1
6722	3757	1
6722	1847	1
6722	57124	1
6722	71	1
4800	7867	1
4800	9772	1
4800	9844	1
4800	11261	1
4800	145645	1
4791	1385	1
4609	92092	1
4609	127733	1
4609	7249	1
4609	6829	1
4609	10147	1
4609	6774	1
4609	5250	1
4609	6004	1
4609	8438	1
4609	65263	1
4609	5138	1
4609	220323	1
4609	10528	1
4609	80155	1
4609	10200	1
4609	4154	1
4609	4141	1
4609	22919	1
4609	3939	1
4609	9903	1
4609	3189	1
4609	664709	1
4609	2794	1
4609	2314	1
4609	64773	1
4609	3995	1
4609	8818	1
4609	55172	1
4609	1736	1
4609	11325	1
4609	118881	1
4609	79019	1
4609	8851	1
4609	8881	1
4609	83638	1
4609	55299	1
4609	8553	1
4609	22926	1
4609	116988	1
4149	84450	1
4149	84669	1
4149	9898	1
4149	81567	1
4149	55000	1
4149	7277	1
4149	54822	1
4149	9797	1
4149	6542	1
4149	84255	1
4149	79596	1
4149	53917	1
4149	169714	1
4149	5725	1
4149	10197	1
4149	57645	1
4149	8985	1
4149	55795	1
4149	8996	1
4149	4784	1
4149	284086	1
4149	10943	1
4149	55167	1
4149	4289	1
4149	56339	1
4149	90411	1
4149	645212	1
4149	338799	1
4149	284023	1
4149	51176	1
4149	8570	1
4149	7403	1
4149	284058	1
4149	25959	1
4149	3609	1
4149	2799	1
4149	201163	1
4149	10922	1
4149	64855	1
4149	2118	1
4149	1843	1
4149	22826	1
4149	1654	1
4149	4850	1
4149	10370	1
4149	51265	1
4149	1019	1
4149	8030	1
4149	790	1
4149	90871	1
4149	84798	1
4149	79650	1
4149	9184	1
4149	2186	1
4149	552900	1
4149	127002	1
4149	533	1
4149	226	1
4149	11215	1
3725	7316	1
3725	5874	1
3725	23207	1
3725	5339	1
3725	4313	1
3725	22806	1
3725	1495	1
3725	1153	1
3725	283149	1
3172	55200	1
3172	8514	1
3172	7464	1
3091	7422	1
2623	51222	1
2623	79680	1
2353	219743	1
2353	10221	1
2353	5914	1
2353	9659	1
2353	9891	1
2353	26959	1
2353	2950	1
2353	2152	1
2353	64651	1
2353	83446	1
2353	481	1
1958	116238	1
1958	8835	1
1958	51773	1
1958	51093	1
1958	25897	1
1958	5763	1
1958	4905	1
1958	51315	1
1958	3622	1
1958	3615	1
1958	79571	1
1958	11124	1
1958	8655	1
1958	58190	1
1958	256329	1
1958	522	1
1958	55252	1
1958	408	1
1870	49856	1
1870	3486	1
1050	1373	1
7546	84133	1
7546	4615	1
7546	64788	1
7546	1286	1
7546	23632	1
7709	1030	1
7528	79759	1
7528	93134	1
7528	7538	1
7528	55249	1
7528	7525	1
7528	114049	1
7528	137492	1
7528	84640	1
7528	29761	1
7528	5412	1
7528	118424	1
7528	10907	1
7528	10383	1
7528	7846	1
7528	81559	1
7528	55809	1
7528	27348	1
7528	51497	1
7528	9066	1
7528	9021	1
7528	29887	1
7528	285958	1
7528	6618	1
7528	28231	1
7528	5250	1
7528	6510	1
7528	57515	1
7528	401251	1
7528	6124	1
7528	55183	1
7528	8241	1
7528	65263	1
7528	5694	1
7528	5652	1
7528	5636	1
7528	5426	1
7528	80012	1
7528	553115	1
7528	29095	1
7528	4946	1
7528	23511	1
7528	64943	1
7528	8431	1
7528	344022	1
7528	4837	1
7528	4720	1
7528	60560	1
7528	4236	1
7528	79892	1
7528	4170	1
7528	4144	1
7528	4141	1
7528	51438	1
7528	222229	1
7528	648987	1
7528	348801	1
7528	84823	1
7528	3987	1
7528	23095	1
7528	51124	1
7528	3189	1
7528	8367	1
7528	8342	1
7528	8345	1
7528	79792	1
7528	2778	1
7528	26223	1
7528	23196	1
7528	64773	1
7528	2137	1
7528	100505975	1
7528	2023	1
7528	8890	1
7528	85403	1
7528	144455	1
7528	81704	1
7528	552891	1
7528	51428	1
7528	7919	1
7528	55794	1
7528	11269	1
7528	57007	1
7528	5476	1
7528	1487	1
7528	1375	1
7528	1363	1
7528	1312	1
7528	1164	1
7528	1120	1
7528	968	1
7528	374969	1
7528	8535	1
7528	23066	1
7528	817	1
7528	81928	1
7528	81617	1
7528	79078	1
7528	2972	1
7528	56647	1
7528	126859	1
7528	55726	1
7528	5926	1
7528	257106	1
7528	10053	1
7528	83854	1
7528	29880	1
7528	4329	1
7528	122622	1
7528	146	1
7528	2182	1
7528	51225	1
7528	6059	1
338917	168451	1
338917	6932	1
338917	23648	1
338917	23293	1
338917	2889	1
338917	5873	1
338917	5744	1
338917	57161	1
338917	5173	1
338917	167410	1
338917	23415	1
338917	50939	1
338917	3141	1
338917	3060	1
338917	2869	1
338917	165082	1
338917	2596	1
338917	26998	1
338917	1464	1
338917	10659	1
338917	493	1
338917	361	1
7391	55778	1
7391	79862	1
7391	51545	1
7391	10794	1
7391	388403	1
7391	7477	1
7391	653635	1
7391	7407	1
7391	57654	1
7391	51733	1
7391	54963	1
7391	51035	1
7391	10844	1
7391	7165	1
7391	54863	1
7391	64222	1
7391	30000	1
7391	943	1
7391	27346	1
7391	58986	1
7391	85019	1
7391	168451	1
7391	7043	1
7391	22980	1
7391	10915	1
7391	85012	1
7391	1155	1
7391	254272	1
7391	129685	1
7391	79723	1
7391	6838	1
7391	6813	1
7391	6812	1
7391	6810	1
7391	8614	1
7391	54961	1
7391	170463	1
7391	6431	1
7391	9043	1
7391	27131	1
7391	26778	1
7391	387066	1
7391	6617	1
7391	23293	1
7391	23049	1
7391	9962	1
7391	56996	1
7391	10801	1
7391	55829	1
7391	6326	1
7391	51435	1
7391	388228	1
7391	401474	1
7391	140700	1
7391	9667	1
7391	27079	1
7391	6234	1
7391	6209	1
7391	6143	1
7391	153830	1
7391	391	1
7391	10287	1
7391	5928	1
7391	10266	1
7391	115273	1
7391	5743	1
7391	145482	1
7391	5591	1
7391	11108	1
7391	63976	1
7391	171568	1
7391	11128	1
7391	548644	1
7391	5347	1
7391	10226	1
7391	64857	1
7391	5336	1
7391	415116	1
7391	5202	1
7391	5833	1
7391	7703	1
7391	5091	1
7391	23178	1
7391	5050	1
7391	23762	1
7391	81448	1
7391	116150	1
7391	10762	1
7391	9397	1
7391	57407	1
7391	4782	1
7391	54820	1
7391	55226	1
7391	10004	1
7391	9961	1
7391	9219	1
7391	219995	1
7391	60672	1
7391	56257	1
7391	9656	1
7391	10982	1
7391	11184	1
7391	5606	1
7391	4123	1
7391	4097	1
7391	28992	1
7391	4061	1
7391	78999	1
7391	338758	1
7391	100129027	1
7391	4001	1
7391	9786	1
7391	3726	1
7391	125476	1
7391	3569	1
7391	3231	1
7391	11100	1
7391	3184	1
7391	220988	1
7391	3108	1
7391	25988	1
7391	9146	1
7391	57801	1
7391	51191	1
7391	54919	1
7391	9001	1
7391	3005	1
7391	9569	1
7391	83445	1
7391	2874	1
7391	84572	1
7391	54552	1
7391	2356	1
7391	8468	1
7391	2091	1
7391	286077	1
7391	29902	1
7391	9917	1
7391	388581	1
7391	9214	1
7391	2101	1
7391	2014	1
7391	27436	1
7391	7458	1
7391	8637	1
7391	9343	1
7391	30008	1
7391	1933	1
7391	1788	1
7391	7802	1
7391	57647	1
7391	9704	1
7391	1723	1
7391	8527	1
7391	57696	1
