SourceNode	TargetNode	Weight
6722	2353	1
4609	5478	1
4609	10622	1
4609	4893	1
4609	2729	1
4149	595	1
7528	54926	1
7528	9320	1
7528	7072	1
7528	27230	1
7528	989	1
7528	6234	1
7528	6233	1
7528	6132	1
7528	25873	1
7528	6165	1
7528	6156	1
7528	6155	1
7528	64062	1
7528	5757	1
7528	51537	1
7528	57129	1
7528	645212	1
7528	10112	1
7528	3091	1
7528	2960	1
7528	54555	1
7528	829	1
7528	689	1
7528	517	1
7528	64801	1
7528	51074	1
7528	10096	1
7391	124997	1
7391	26793	1
7391	5900	1
7391	26064	1
7391	9135	1
7391	5699	1
7391	5321	1
7391	55795	1
7391	4289	1
7391	4144	1
7391	8425	1
7391	9314	1
7391	221914	1
7391	2194	1
7391	64773	1
7391	4189	1
7391	50813	1
7391	57673	1
7391	102	1
7391	31	1
6777	896	1
6776	595	1
6774	7422	1
6774	8835	1
6774	4609	1
6772	5292	1
6722	6876	1
6722	11259	1
6722	3491	1
6722	1490	1
6722	57124	1
6722	71	1
4800	199745	1
4800	51804	1
4800	5547	1
4800	79023	1
4800	847	1
4791	7185	1
4791	11021	1
4791	259307	1
4609	7504	1
4609	7486	1
4609	7408	1
4609	29128	1
4609	54822	1
4609	9319	1
4609	10329	1
4609	96764	1
4609	6774	1
4609	6432	1
4609	23516	1
4609	5902	1
4609	5901	1
4609	11137	1
4609	5481	1
4609	10528	1
4609	57486	1
4609	64976	1
4609	64087	1
4609	153364	1
4609	687	1
4609	3795	1
4609	3621	1
4609	51104	1
4609	1161	1
4609	8818	1
4609	1736	1
4609	1653	1
4609	51596	1
4609	10370	1
4609	79019	1
4609	8851	1
4609	721	1
4609	92667	1
4609	55729	1
4609	253982	1
4609	197	1
4609	132	1
4149	84669	1
4149	81622	1
4149	7277	1
4149	158135	1
4149	22878	1
4149	29110	1
4149	51629	1
4149	6493	1
4149	6309	1
4149	29890	1
4149	5930	1
4149	53917	1
4149	81579	1
4149	80012	1
4149	220323	1
4149	4914	1
4149	8996	1
4149	4221	1
4149	90411	1
4149	5595	1
4149	78999	1
4149	254531	1
4149	284023	1
4149	84894	1
4149	54813	1
4149	284058	1
4149	152789	1
4149	92579	1
4149	2101	1
4149	1959	1
4149	9343	1
4149	10589	1
4149	1654	1
4149	51265	1
4149	151903	1
4149	9256	1
4149	9530	1
4149	9474	1
4149	22863	1
4149	10092	1
4149	55911	1
3725	30011	1
3725	23645	1
3725	65009	1
3725	4316	1
3725	4314	1
3725	1366	1
2623	51222	1
2623	1396	1
2623	79680	1
2353	7791	1
2353	55974	1
2353	23221	1
2353	65009	1
2353	4314	1
2353	9656	1
2353	824	1
2353	571	1
2113	4313	1
1958	57623	1
1958	10322	1
1958	25897	1
1958	5155	1
1958	3622	1
1958	10589	1
1958	1789	1
1958	55861	1
1958	930	1
1958	283870	1
1958	659	1
1958	8553	1
7546	6506	1
7546	862	1
7546	22902	1
7546	54665	1
7546	5966	1
7546	8495	1
7546	7026	1
7546	9520	1
7546	89795	1
7546	116844	1
7546	26468	1
7546	51088	1
7546	7403	1
7546	2794	1
7546	55294	1
7546	54462	1
7546	747	1
7546	1436	1
7546	629	1
7546	8535	1
7546	9184	1
7546	493	1
7546	50650	1
7546	20	1
7528	26009	1
7528	285971	1
7528	84527	1
7528	340385	1
7528	7571	1
7528	7756	1
7528	9204	1
7528	55954	1
7528	23660	1
7528	7539	1
7528	220930	1
7528	84240	1
7528	55854	1
7528	253943	1
7528	348793	1
7528	8976	1
7528	23326	1
7528	7283	1
7528	8848	1
7528	55006	1
7528	201292	1
7528	7168	1
7528	7114	1
7528	283232	1
7528	55706	1
7528	152815	1
7528	51078	1
7528	6950	1
7528	6883	1
7528	51111	1
7528	29966	1
7528	2040	1
7528	6741	1
7528	6726	1
7528	5552	1
7528	6713	1
7528	27131	1
7528	9784	1
7528	6631	1
7528	26815	1
7528	595099	1
7528	57223	1
7528	6536	1
7528	80255	1
7528	1318	1
7528	257218	1
7528	57515	1
7528	152579	1
7528	9733	1
7528	6253	1
7528	23076	1
7528	6197	1
7528	6210	1
7528	6208	1
7528	6130	1
7528	6164	1
7528	6161	1
7528	6154	1
7528	153830	1
7528	80010	1
7528	6016	1
7528	10179	1
7528	5878	1
7528	26056	1
7528	29920	1
7528	54899	1
7528	5693	1
7528	133619	1
7528	112464	1
7528	5525	1
7528	25913	1
7528	10775	1
7528	10401	1
7528	84844	1
7528	5189	1
7528	64065	1
7528	8050	1
7528	9659	1
7528	51633	1
7528	54940	1
7528	129401	1
7528	286053	1
7528	27020	1
7528	4854	1
7528	51406	1
7528	4738	1
7528	4691	1
7528	222236	1
7528	342538	1
7528	50804	1
7528	92140	1
7528	6307	1
7528	79684	1
7528	51373	1
7528	740	1
7528	219972	1
7528	23515	1
7528	4256	1
7528	4236	1
7528	112950	1
7528	9442	1
7528	9439	1
7528	145553	1
7528	56890	1
7528	9782	1
7528	7786	1
7528	116068	1
7528	90624	1
7528	3998	1
7528	51451	1
7528	9741	1
7528	84078	1
7528	126119	1
7528	81533	1
7528	9118	1
7528	55272	1
7528	51124	1
7528	51182	1
7528	116835	1
7528	84343	1
7528	3239	1
7528	3189	1
7528	3183	1
7528	8357	1
7528	8336	1
7528	26959	1
7528	283254	1
7528	119391	1
7528	134266	1
7528	27238	1
7528	55830	1
7528	2495	1
7528	80144	1
7528	23219	1
7528	26261	1
7528	26223	1
7528	55179	1
7528	2098	1
7528	2033	1
7528	2029	1
7528	80237	1
7528	1968	1
7528	30845	1
7528	1859	1
7528	1795	1
7528	79982	1
7528	54788	1
7528	10301	1
7528	1738	1
7528	170506	1
7528	1606	1
7528	55827	1
7528	7818	1
7528	8450	1
7528	1349	1
7528	84987	1
7528	1307	1
7528	22883	1
7528	1181	1
7528	26586	1
7528	64105	1
7528	56990	1
7528	7203	1
7528	56267	1
7528	865	1
7528	128061	1
7528	79002	1
7528	115939	1
7528	746	1
7528	27154	1
7528	657	1
7528	56898	1
7528	11041	1
7528	10476	1
7528	25842	1
7528	51130	1
7528	10094	1
7528	55207	1
7528	151188	1
7528	8289	1
7528	377	1
7528	375	1
7528	328	1
7528	9179	1
7528	8125	1
7528	51434	1
7528	8846	1
7528	55109	1
7528	60496	1
338917	6723	1
338917	283514	1
338917	30011	1
338917	26297	1
338917	54437	1
338917	8503	1
338917	5101	1
338917	5080	1
338917	5017	1
338917	222223	1
338917	30818	1
338917	23415	1
338917	50939	1
338917	28981	1
338917	2782	1
338917	2251	1
338917	55924	1
338917	26220	1
338917	822	1
338917	56899	1
7391	9406	1
7391	84133	1
7391	51123	1
7391	84450	1
7391	7988	1
7391	64393	1
7391	139735	1
7391	54915	1
7391	388403	1
7391	10138	1
7391	22803	1
7391	56949	1
7391	100287171	1
7391	10713	1
7391	9958	1
7391	51733	1
7391	57578	1
7391	25989	1
7391	9706	1
7391	51366	1
7391	80746	1
7391	7249	1
7391	54765	1
7391	10221	1
7391	94241	1
7391	7293	1
7391	440955	1
7391	84283	1
7391	84302	1
7391	23306	1
7391	7091	1
7391	126668	1
7391	9797	1
7391	84144	1
7391	6812	1
7391	8677	1
7391	9262	1
7391	79689	1
7391	10402	1
7391	30812	1
7391	6602	1
7391	6422	1
7391	51460	1
7391	9869	1
7391	57190	1
7391	23513	1
7391	6326	1
7391	388228	1
7391	55316	1
7391	9252	1
7391	64221	1
7391	8731	1
7391	5914	1
7391	10268	1
7391	10266	1
7391	5883	1
7391	83871	1
7391	79037	1
7391	11156	1
7391	5730	1
7391	55615	1
7391	5443	1
7391	51090	1
7391	8398	1
7391	143689	1
7391	5295	1
7391	283871	1
7391	5202	1
7391	57546	1
7391	7703	1
7391	56111	1
7391	56105	1
7391	23178	1
7391	26986	1
7391	23386	1
7391	11188	1
7391	4784	1
7391	4780	1
7391	23054	1
7391	9027	1
7391	60672	1
7391	54531	1
7391	4207	1
7391	400569	1
7391	4176	1
7391	55777	1
7391	10982	1
7391	11184	1
7391	4061	1
7391	23507	1
7391	84861	1
7391	282617	1
7391	3551	1
7391	3375	1
7391	10808	1
7391	3215	1
7391	9987	1
7391	25988	1
7391	9146	1
7391	51191	1
7391	8841	1
7391	57657	1
7391	253018	1
7391	9329	1
7391	83445	1
7391	2585	1
7391	57600	1
7391	2205	1
7391	56204	1
7391	151647	1
7391	317649	1
7391	10938	1
7391	9149	1
7391	11072	1
7391	349152	1
7391	7802	1
7391	1609	1
7391	8527	1
7391	84649	1
7391	147906	1
7391	1551	1
7391	113612	1
7391	200186	1
7391	9586	1
7391	7464	1
7391	78989	1
7391	80781	1
7391	4850	1
7391	5010	1
7391	8814	1
7391	80279	1
7391	911	1
7391	896	1
7391	91057	1
7391	644019	1
7391	55262	1
7391	285636	1
7391	10826	1
7391	150383	1
7391	84221	1
7391	400258	1
7391	23246	1
7391	91272	1
7391	593	1
7391	146712	1
7391	80063	1
7391	23229	1
7391	10565	1
7391	22881	1
7391	651746	1
7391	56894	1
7391	84532	1
7391	84680	1
7391	116983	1
7391	36	1
7391	23	1
7050	51174	1
7050	94015	1
7050	158135	1
7050	6810	1
7050	134548	1
7050	6272	1
7050	5861	1
7050	4208	1
7050	22801	1
7050	93986	1
7050	1740	1
7050	10260	1
7050	830	1
7050	284067	1
7050	358	1
83439	4286	1
83439	595	1
6932	4609	1
6929	79797	1
6929	64852	1
6929	25987	1
6929	7164	1
6929	55260	1
6929	8859	1
6929	23034	1
6929	84153	1
6929	83547	1
6929	81890	1
6929	25824	1
6929	55624	1
6929	51050	1
6929	8641	1
6929	5091	1
6929	8013	1
6929	23154	1
6929	90634	1
6929	150678	1
6929	4296	1
6929	389692	1
6929	57805	1
6929	3742	1
6929	55502	1
6929	81577	1
6929	60674	1
6929	93611	1
6929	283849	1
6929	2099	1
6929	114625	1
6929	11316	1
6929	60677	1
6929	23587	1
6929	79650	1
6929	83938	1
6929	11285	1
6929	239	1
6929	79575	1
6908	7105	1
6908	9344	1
6908	6280	1
6908	6279	1
6908	54101	1
6908	100885850	1
6908	51367	1
6908	81285	1
6908	4946	1
6908	64332	1
6908	389692	1
6908	100132476	1
6908	728279	1
6908	60495	1
6908	55502	1
6908	10912	1
6908	1674	1
6908	1444	1
6908	23019	1
2623	150223	1
2623	7352	1
2623	6700	1
2623	57140	1
2623	5564	1
2623	4778	1
2623	3930	1
2623	63943	1
