SourceNode	TargetNode	Weight
7391	19	0.939784581948911
5468	10062	0.939784581948911
5468	1375	1
4609	6493	1
4609	8731	0.939784581948911
4609	5728	1
4609	4000	0.939784581948911
4609	1019	0.939784581948911
4609	790	1
4609	468	1
7528	80778	1
7528	284273	1
7528	55432	1
7528	25987	1
7528	122553	1
7528	23505	0.939784581948911
7528	26819	1
7528	27230	1
7528	10181	0.939784581948911
7528	65059	0.939784581948911
7528	23338	0.939784581948911
7528	11331	1
7528	5090	1
7528	4802	1
7528	100750326	1
7528	28996	0.939784581948911
7528	124936	1
7528	58190	1
7528	515	0.939784581948911
7528	9507	1
7391	80829	0.939784581948911
7391	9559	0.939784581948911
7391	9218	0.939784581948911
7391	27037	1
7391	134285	1
7391	9755	0.939784581948911
7391	23516	0.939784581948911
7391	91137	0.939784581948911
7391	23623	1
7391	23179	0.939784581948911
7391	196463	0.939784581948911
7391	79837	0.939784581948911
7391	51230	0.939784581948911
7391	5216	0.939784581948911
7391	114882	0.939784581948911
7391	64324	0.939784581948911
7391	27020	0.939784581948911
7391	29078	0.939784581948911
7391	10627	0.939784581948911
7391	124540	0.939784581948911
7391	22880	0.939784581948911
7391	1954	1
7391	84445	1
7391	55083	0.939784581948911
7391	151050	1
7391	3202	0.939784581948911
7391	2965	0.939784581948911
7391	2194	1
7391	27146	1
7391	80004	0.939784581948911
7391	54808	1
7391	56616	1
7391	79077	1
7391	51265	1
7391	1020	1
7391	138241	0.939784581948911
7391	55729	0.939784581948911
7391	10564	0.939784581948911
7391	9949	0.939784581948911
7391	26574	1
6777	5292	1
6774	896	0.939784581948911
6774	595	0.939784581948911
6722	7168	1
6722	25777	0.939784581948911
6722	10611	0.939784581948911
6722	4643	1
6722	10398	1
6722	9261	1
6722	3726	0.939784581948911
6722	11259	1
6722	124402	0.939784581948911
6722	1959	0.939784581948911
6722	1072	1
6722	57124	1
4089	1030	0.939784581948911
6256	1374	1
6256	116519	0.939784581948911
6256	335	0.939784581948911
5468	7350	0.939784581948911
5468	5105	0.939784581948911
