SourceNode	TargetNode	Weight
7391	6277	1
6772	9021	1
6722	2353	1
4609	10221	1
4609	4088	1
4609	5728	1
4609	8996	1
4609	4719	1
4609	4691	1
4609	8570	1
4609	9987	1
4609	3178	1
4609	8841	1
4609	2581	1
4609	593	1
4609	468	1
4149	595	1
3725	6520	1
3725	4318	1
7528	80778	1
7528	9877	1
7528	64743	1
7528	9320	1
7528	25941	1
7528	7156	1
7528	7072	1
7528	27230	1
7528	989	1
7528	6132	1
7528	26001	1
7528	9699	1
7528	5901	1
7528	5885	1
7528	5757	1
7528	5691	1
7528	25885	1
7528	51537	1
7528	57129	1
7528	90411	1
7528	3091	1
7528	2960	1
7528	51074	1
7528	10096	1
7528	37	1
7391	124997	1
7391	7317	1
7391	7248	1
7391	10629	1
7391	140890	1
7391	201232	1
7391	22933	1
7391	23411	1
7391	22902	1
7391	79589	1
7391	5959	1
7391	5900	1
7391	26064	1
7391	8495	1
7391	5585	1
7391	55825	1
7391	3651	1
7391	55753	1
7391	10528	1
7391	4719	1
7391	4691	1
7391	9258	1
7391	4144	1
7391	84445	1
7391	54585	1
7391	8425	1
7391	121227	1
7391	687	1
7391	9314	1
7391	23277	1
7391	64423	1
7391	2597	1
7391	64773	1
7391	51596	1
7391	1050	1
7391	891	1
7391	817	1
7391	124944	1
7391	91408	1
7391	403	1
7391	328	1
7391	4329	1
7391	31	1
6777	896	1
6776	896	1
6774	8835	1
6774	4609	1
6773	8835	1
6772	5292	1
6772	3725	1
6722	6876	1
6722	5355	1
6722	10398	1
6722	4170	1
6722	3757	1
6722	1958	1
6722	3491	1
6722	60	1
4088	4609	1
5468	51129	1
5451	4609	1
5451	8521	1
4800	10163	1
4800	84844	1
4800	8347	1
4800	83460	1
4800	23130	1
4800	60	1
4791	64332	1
4791	259307	1
4791	1385	1
4609	84133	1
4609	84450	1
4609	81622	1
4609	9898	1
4609	7249	1
4609	22878	1
4609	96764	1
4609	10312	1
4609	6907	1
4609	10629	1
4609	55638	1
4609	2040	1
4609	6789	1
4609	6774	1
4609	6480	1
4609	6432	1
4609	9126	1
4609	80031	1
4609	9252	1
4609	6161	1
4609	5936	1
4609	8438	1
4609	5866	1
4609	81890	1
4609	9791	1
4609	5494	1
4609	11232	1
4609	5138	1
4609	51585	1
4609	10528	1
4609	4784	1
4609	9603	1
4609	55226	1
4609	4673	1
4609	4522	1
4609	55167	1
4609	4357	1
4609	64087	1
4609	4154	1
4609	153364	1
4609	645212	1
4609	10609	1
4609	687	1
4609	23277	1
4609	3795	1
4609	3720	1
4609	3621	1
4609	3601	1
4609	10642	1
4609	3398	1
4609	11077	1
4609	3291	1
4609	3202	1
4609	3181	1
4609	2622	1
4609	80256	1
4609	64773	1
4609	2027	1
4609	56648	1
4609	8665	1
4609	1968	1
4609	9343	1
4609	26528	1
4609	51596	1
4609	29894	1
4609	1050	1
4609	976	1
4609	841	1
4609	664	1
4609	652	1
4609	648	1
4609	8553	1
4609	22863	1
4609	55729	1
4609	9716	1
4609	197	1
4609	31	1
4602	9659	1
4149	54915	1
4149	7417	1
4149	54822	1
4149	66000	1
4149	1678	1
4149	10147	1
4149	10734	1
4149	338069	1
4149	26793	1
4149	8501	1
4149	51629	1
4149	6146	1
4149	53917	1
4149	65263	1
4149	27166	1
4149	5164	1
4149	9972	1
4149	10360	1
4149	4809	1
4149	284086	1
4149	91942	1
4149	10943	1
4149	56339	1
4149	55646	1
4149	83450	1
4149	254531	1
4149	9903	1
4149	284058	1
4149	339123	1
4149	9807	1
4149	3609	1
4149	84842	1
4149	2876	1
4149	2783	1
4149	29925	1
4149	28964	1
4149	25827	1
