SourceNode	TargetNode	Weight
7391	19	0.87772763364354
6772	9021	1
5468	10062	0.87772763364354
4609	10221	1
4609	64116	1
4609	8731	0.87772763364354
4609	4144	0.87772763364354
4609	4000	0.87772763364354
4609	8841	1
4609	1019	0.87772763364354
4609	23468	0.87772763364354
4609	468	1
7528	55432	1
7528	23505	0.87772763364354
7528	6616	1
7528	26135	1
7528	84268	1
7528	65059	0.87772763364354
7528	84950	1
7528	23338	0.87772763364354
7528	4758	1
7528	4666	1
7528	11133	1
7528	54813	1
7528	22858	0.87772763364354
7528	28996	0.87772763364354
7528	1759	1
7528	124936	1
7528	673	1
7528	515	0.87772763364354
7391	84217	1
7391	80829	0.87772763364354
7391	9559	0.87772763364354
7391	9218	0.87772763364354
7391	10043	1
7391	9755	0.87772763364354
7391	23516	0.87772763364354
7391	91137	0.87772763364354
7391	23179	0.87772763364354
7391	196463	0.87772763364354
7391	5321	1
7391	79837	0.87772763364354
7391	51230	0.87772763364354
7391	5216	0.87772763364354
7391	55003	1
7391	114882	0.87772763364354
7391	64324	0.87772763364354
7391	27020	0.87772763364354
7391	29078	0.87772763364354
7391	10627	0.87772763364354
7391	124540	0.87772763364354
7391	64976	1
7391	22880	0.87772763364354
7391	84975	1
7391	7867	1
7391	55083	0.87772763364354
7391	3202	0.87772763364354
7391	55502	1
7391	2965	0.87772763364354
7391	80004	0.87772763364354
7391	22826	1
7391	138241	0.87772763364354
7391	64422	1
7391	55729	0.87772763364354
7391	10564	0.87772763364354
7391	9949	0.87772763364354
6774	896	0.87772763364354
6774	595	0.87772763364354
6772	5292	1
6722	10611	0.87772763364354
6722	128506	1
6722	4026	1
6722	3726	0.87772763364354
6722	124402	0.87772763364354
6722	1959	0.87772763364354
4089	1030	0.87772763364354
6256	335	0.87772763364354
5468	7350	0.87772763364354
5468	5105	0.87772763364354
5468	1593	0.87772763364354
5451	3714	0.87772763364354
5451	5168	0.87772763364354
4800	7272	0.87772763364354
4800	283237	0.87772763364354
4800	4087	0.87772763364354
4800	55660	0.87772763364354
4800	1163	0.87772763364354
4800	6790	0.87772763364354
4800	472	0.87772763364354
4782	2805	0.87772763364354
4609	162979	1
4609	4904	1
4609	64328	1
4609	10208	1
4609	81622	1
4609	54822	1
4609	10915	1
4609	8677	0.87772763364354
4609	6789	1
4609	6741	1
4609	6432	1
4609	6626	0.87772763364354
4609	26793	0.87772763364354
4609	10169	0.87772763364354
4609	9252	1
4609	9135	1
4609	5866	1
4609	5664	0.87772763364354
4609	5635	1
4609	5612	1
4609	5494	1
4609	5395	0.87772763364354
4609	5210	1
4609	29107	0.87772763364354
4609	10360	0.87772763364354
4609	4830	0.87772763364354
4609	4289	1
4609	4221	0.87772763364354
4609	4154	1
4609	4074	1
4609	284023	1
4609	3916	0.87772763364354
4609	3757	0.87772763364354
4609	3720	1
4609	54617	1
4609	3621	1
4609	94086	1
4609	3189	1
4609	664709	1
4609	3151	1
4609	3995	1
4609	2114	0.87772763364354
4609	7957	0.87772763364354
4609	2023	0.87772763364354
4609	10589	0.87772763364354
4609	11325	1
4609	1649	1
4609	51596	1
4609	1479	1
4609	10370	1
4609	1128	1
4609	1951	1
4609	1050	1
4609	8881	1
4609	976	1
4609	11335	0.87772763364354
4609	51531	0.87772763364354
4609	92667	1
4609	9256	0.87772763364354
4609	552900	0.87772763364354
4609	8704	0.87772763364354
4609	551	0.87772763364354
4609	25814	0.87772763364354
4609	328	0.87772763364354
4609	8905	1
4609	197	1
4609	116988	1
4149	57169	0.87772763364354
4149	64763	1
4149	92092	1
4149	78992	1
4149	51605	1
4149	30000	0.87772763364354
4149	55240	1
4149	10734	1
4149	6643	1
4149	10285	0.87772763364354
4149	4088	0.87772763364354
4149	1318	1
4149	6146	1
4149	5866	0.87772763364354
4149	81890	0.87772763364354
4149	10622	1
4149	55795	1
4149	4817	1
4149	4809	1
4149	56257	0.87772763364354
4149	54799	0.87772763364354
4149	153364	1
4149	55646	1
4149	83450	1
4149	645212	1
4149	338799	1
4149	23588	1
4149	7403	1
4149	8514	1
4149	10437	1
4149	3398	1
4149	3336	1
4149	3329	0.87772763364354
4149	11234	0.87772763364354
4149	3202	1
4149	3091	1
4149	96459	1
4149	22862	1
4149	24147	0.87772763364354
4149	2170	0.87772763364354
4149	2035	1
4149	7458	1
4149	56616	1
4149	91614	1
4149	11269	1
4149	80315	1
4149	10695	1
4149	79019	1
4149	84254	0.87772763364354
4149	90871	1
4149	51526	1
4149	90580	0.87772763364354
4149	9256	1
4149	8553	0.87772763364354
4149	593	1
4149	253982	0.87772763364354
4149	8289	0.87772763364354
4149	11215	1
4149	8165	1
4149	132	1
4149	58527	1
51176	4316	1
3725	51222	1
3725	5020	0.87772763364354
3725	8021	0.87772763364354
3725	4314	1
3725	4000	1
3725	3678	0.87772763364354
3725	9586	0.87772763364354
3725	23152	1
3725	22856	0.87772763364354
3172	84225	1
3172	5364	0.87772763364354
3172	10062	0.87772763364354
3172	55167	0.87772763364354
3172	8514	1
3172	2159	0.87772763364354
3172	5244	0.87772763364354
2353	7538	1
2353	10221	1
2353	343521	0.87772763364354
2353	8987	0.87772763364354
2353	6595	0.87772763364354
2353	6510	1
2353	9659	1
2353	5031	1
2353	9656	1
2353	55818	0.87772763364354
2353	3113	1
2353	348487	0.87772763364354
2353	2152	1
2353	1153	1
2113	7422	1
2099	10912	0.87772763364354
1958	29761	0.87772763364354
1958	7343	0.87772763364354
1958	7204	1
1958	55223	1
1958	79228	0.87772763364354
1958	84255	1
1958	64857	1
1958	5194	1
1958	4905	1
1958	84458	1
1958	284058	0.87772763364354
1958	9987	0.87772763364354
1958	286077	0.87772763364354
1958	1153	0.87772763364354
1958	84733	0.87772763364354
1958	57827	0.87772763364354
1958	659	1
1958	528	1
1958	377	0.87772763364354
1958	334	1
1870	3486	1
1385	8013	1
1050	7077	0.87772763364354
466	3939	0.87772763364354
7546	7477	1
7546	202051	1
7546	5257	1
7546	143503	1
7546	161753	0.87772763364354
7546	4593	1
7546	55777	0.87772763364354
7546	51528	1
7546	2931	1
7546	2794	1
7546	9908	1
7546	2125	0.87772763364354
7546	2029	1
7546	11258	1
7546	1191	1
7546	127687	1
7546	375790	0.87772763364354
7528	285971	1
7528	79759	1
7528	284370	0.87772763364354
7528	54816	0.87772763364354
7528	51222	0.87772763364354
7528	7690	1
7528	7539	1
7528	57623	1
7528	9839	1
7528	220930	1
7528	84058	1
7528	80232	0.87772763364354
7528	6293	0.87772763364354
7528	7716	1
7528	9218	1
7528	54963	1
7528	5412	1
7528	10907	1
7528	84790	0.87772763364354
7528	54902	0.87772763364354
7528	55720	1
7528	388951	0.87772763364354
7528	7259	1
7528	90933	1
7528	5987	0.87772763364354
7528	7178	0.87772763364354
7528	9804	0.87772763364354
7528	10766	0.87772763364354
7528	255043	0.87772763364354
7528	221468	1
7528	199745	1
7528	51078	1
7528	6908	1
7528	83931	0.87772763364354
7528	6777	1
7528	56910	0.87772763364354
7528	6742	0.87772763364354
7528	140890	1
7528	80725	1
7528	10847	1
7528	339745	0.87772763364354
7528	152185	1
7528	28972	0.87772763364354
7528	10174	1
7528	23381	1
7528	6520	0.87772763364354
7528	81539	1
7528	10463	0.87772763364354
7528	154091	0.87772763364354
7528	3177	1
