sensivity	specificity	accuracy	F1	auc
0.8182	1	0.8824	0.9	0.909090909090909
1	0.875	0.9231	0.909090909090909	0.9375
1	1	1	1	1
0.5714	1	0.7273	0.727272727272727	0.785714285714286
0.7143	1	0.8571	0.833333333333333	0.857142857142857
1	1	1	1	1
1	0.7143	0.8333	0.833333333333333	0.857142857142857
1	1	1	1	1
0.8	0.5	0.7143	0.8	0.65
1	0.875	0.9286	0.923076923076923	0.9375
1	1	1	1	1
0.875	1	0.9286	0.933333333333333	0.9375
0.75	1	0.8571	0.857142857142857	0.875
0.8571	1	0.9091	0.923076923076923	0.928571428571429
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	0.5	0.8	0.857142857142857	0.75
0.75	1	0.8889	0.857142857142857	0.875
1	0.8889	0.9333	0.923076923076923	0.944444444444444
1	1	1	1	1
0.7778	0.9	0.8421	0.823529411764706	0.838888888888889
0.8	1	0.9167	0.888888888888889	0.9
1	1	1	1	1
1	0.8571	0.9231	0.923076923076923	0.928571428571429
1	1	1	1	1
1	0.875	0.9231	0.909090909090909	0.9375
1	1	1	1	1
0.7143	1	0.8462	0.833333333333333	0.857142857142857
0.5714	0.8	0.6667	0.666666666666667	0.685714285714286
0.8182	0.8333	0.8235	0.857142857142857	0.825757575757576
0.6	1	0.8	0.75	0.8
0.8333	0.6667	0.7333	0.714285714285714	0.75
0.5	1	0.6667	0.666666666666667	0.75
0.8889	0.8333	0.8667	0.888888888888889	0.861111111111111
0.8333	0.8333	0.8333	0.833333333333333	0.833333333333333
0.8889	0.5	0.7333	0.8	0.694444444444444
0.875	1	0.9333	0.933333333333333	0.9375
1	0.8333	0.9091	0.909090909090909	0.916666666666667
0.8889	1	0.9412	0.941176470588235	0.944444444444444
1	0.8889	0.9412	0.941176470588235	0.944444444444444
0.8	1	0.9	0.888888888888889	0.9
0.1429	1	0.5385	0.25	0.571428571428571
0.75	1	0.8667	0.857142857142857	0.875
1	0.875	0.9412	0.947368421052632	0.9375
0.8571	1	0.9333	0.923076923076923	0.928571428571429
0.6667	1	0.7778	0.8	0.833333333333333
0.7143	1	0.8462	0.833333333333333	0.857142857142857
0.8	1	0.8889	0.888888888888889	0.9
0.9	1	0.9444	0.947368421052632	0.95
1	1	1	1	1
1	1	1	1	1
1	0.625	0.75	0.727272727272727	0.8125
0.7143	1	0.8667	0.833333333333333	0.857142857142857
0.6667	1	0.8333	0.8	0.833333333333333
0.875	1	0.9333	0.933333333333333	0.9375
0.9091	1	0.9444	0.952380952380952	0.954545454545455
0.7143	1	0.8462	0.833333333333333	0.857142857142857
1	1	1	1	1
0.6667	1	0.8462	0.8	0.833333333333333
0.5714	1	0.8125	0.727272727272727	0.785714285714286
0.8571	1	0.9286	0.923076923076923	0.928571428571429
0.875	1	0.9286	0.933333333333333	0.9375
1	0.8889	0.9474	0.952380952380952	0.944444444444444
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
0.875	0.9091	0.8947	0.875	0.892045454545455
1	0.625	0.8	0.823529411764706	0.8125
1	1	1	1	1
0.875	1	0.9333	0.933333333333333	0.9375
1	1	1	1	1
1	0.8	0.8824	0.875	0.9
1	1	1	1	1
0.8889	1	0.9412	0.941176470588235	0.944444444444444
0.6	1	0.8333	0.75	0.8
1	1	1	1	1
1	0.875	0.9375	0.941176470588235	0.9375
1	1	1	1	1
0.8889	1	0.9286	0.941176470588235	0.944444444444444
1	1	1	1	1
0.8	1	0.8889	0.888888888888889	0.9
1	1	1	1	1
0.6667	1	0.8125	0.8	0.833333333333333
0.875	1	0.9412	0.933333333333333	0.9375
0.8571	1	0.9231	0.923076923076923	0.928571428571429
0.8571	0.6667	0.7692	0.8	0.761904761904762
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	0.75	0.875	0.888888888888889	0.875
0.5714	1	0.7692	0.727272727272727	0.785714285714286
1	0.7143	0.8462	0.857142857142857	0.857142857142857
1	1	1	1	1
0.75	1	0.8571	0.857142857142857	0.875
1	1	1	1	1
1	0.8333	0.9286	0.941176470588235	0.916666666666667
1	1	1	1	1
1	0.75	0.8333	0.8	0.875
1	0.75	0.8333	0.8	0.875
0.8571	0.7778	0.8125	0.8	0.817460317460317
0.6	0.6	0.6	0.6	0.6
1	1	1	1	1
0.8571	1	0.9286	0.923076923076923	0.928571428571429
0.75	1	0.8824	0.857142857142857	0.875
0.875	0.2	0.6154	0.736842105263158	0.5375
0.75	1	0.8333	0.857142857142857	0.875
0.8333	1	0.9333	0.909090909090909	0.916666666666667
1	0.625	0.8	0.823529411764706	0.8125
0.7143	1	0.8571	0.833333333333333	0.857142857142857
1	1	1	1	1
0.8889	1	0.9412	0.941176470588235	0.944444444444444
1	1	1	1	1
1	0.7143	0.8667	0.888888888888889	0.857142857142857
0.5714	1	0.7692	0.727272727272727	0.785714285714286
0.875	1	0.9333	0.933333333333333	0.9375
1	1	1	1	1
1	0.8571	0.9333	0.941176470588235	0.928571428571429
1	0.8889	0.9286	0.909090909090909	0.944444444444444
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
0.7778	1	0.8889	0.875	0.888888888888889
1	1	1	1	1
1	0.8571	0.9333	0.941176470588235	0.928571428571429
1	1	1	1	1
0.8	1	0.8889	0.888888888888889	0.9
0.8889	1	0.9333	0.941176470588235	0.944444444444444
0.7143	1	0.8571	0.833333333333333	0.857142857142857
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
0.875	1	0.9333	0.933333333333333	0.9375
1	1	1	1	1
0.75	1	0.8667	0.857142857142857	0.875
0.7143	1	0.8571	0.833333333333333	0.857142857142857
1	1	1	1	1
1	1	1	1	1
0.875	0.875	0.875	0.875	0.875
1	1	1	1	1
0.8889	1	0.9333	0.941176470588235	0.944444444444444
0.8571	1	0.9333	0.923076923076923	0.928571428571429
1	0.625	0.7857	0.8	0.8125
0.5714	1	0.7692	0.727272727272727	0.785714285714286
1	1	1	1	1
0.8333	1	0.9167	0.909090909090909	0.916666666666667
1	0.8571	0.9412	0.952380952380952	0.928571428571429
0.8333	1	0.9231	0.909090909090909	0.916666666666667
1	1	1	1	1
0.8571	1	0.9375	0.923076923076923	0.928571428571429
1	1	1	1	1
1	1	1	1	1
1	0.8889	0.9333	0.923076923076923	0.944444444444444
0.7	1	0.8235	0.823529411764706	0.85
1	0.875	0.9333	0.933333333333333	0.9375
0.7778	1	0.8824	0.875	0.888888888888889
0.4286	1	0.7143	0.6	0.714285714285714
1	1	1	1	1
0.8889	1	0.9412	0.941176470588235	0.944444444444444
0.8571	1	0.9286	0.923076923076923	0.928571428571429
0.8571	1	0.9286	0.923076923076923	0.928571428571429
1	0.75	0.8571	0.857142857142857	0.875
1	1	1	1	1
1	0.6667	0.8462	0.875	0.833333333333333
1	1	1	1	1
0.6667	1	0.8667	0.8	0.833333333333333
0.875	1	0.9333	0.933333333333333	0.9375
0.8333	1	0.9231	0.909090909090909	0.916666666666667
0.875	1	0.9333	0.933333333333333	0.9375
0.6667	0.875	0.7647	0.75	0.770833333333333
0.75	0.8571	0.8	0.8	0.803571428571429
0.8889	1	0.9375	0.941176470588235	0.944444444444444
1	0.4286	0.75	0.818181818181818	0.714285714285714
0.7778	0.8333	0.8	0.823529411764706	0.805555555555555
0.8571	0.6667	0.75	0.75	0.761904761904762
0.8333	1	0.9091	0.909090909090909	0.916666666666667
1	1	1	1	1
0.7143	1	0.8462	0.833333333333333	0.857142857142857
1	1	1	1	1
1	0.5	0.7143	0.75	0.75
0.875	1	0.9333	0.933333333333333	0.9375
1	1	1	1	1
1	1	1	1	1
0.875	1	0.9375	0.933333333333333	0.9375
1	0.5	0.7333	0.777777777777778	0.75
1	1	1	1	1
1	1	1	1	1
0.6667	1	0.8182	0.8	0.833333333333333
1	0.875	0.9333	0.933333333333333	0.9375
1	1	1	1	1
1	1	1	1	1
1	0.8889	0.9286	0.909090909090909	0.944444444444444
0.5	1	0.8125	0.666666666666667	0.75
0.8333	1	0.9231	0.909090909090909	0.916666666666667
0.875	1	0.9333	0.933333333333333	0.9375
0.75	1	0.8667	0.857142857142857	0.875
1	1	1	1	1
0.8571	1	0.9412	0.923076923076923	0.928571428571429
0.8	0.8333	0.8125	0.842105263157895	0.816666666666667
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
0.75	1	0.875	0.857142857142857	0.875
1	1	1	1	1
0.8889	0.8889	0.8889	0.888888888888889	0.888888888888889
1	0.8333	0.9167	0.923076923076923	0.916666666666667
0.8571	1	0.9333	0.923076923076923	0.928571428571429
0.6667	1	0.8889	0.8	0.833333333333333
0.8	1	0.9286	0.888888888888889	0.9
1	1	1	1	1
0.875	1	0.9412	0.933333333333333	0.9375
1	1	1	1	1
1	0.8333	0.9091	0.909090909090909	0.916666666666667
1	0.75	0.9167	0.941176470588235	0.875
1	0.9091	0.9412	0.923076923076923	0.954545454545455
0.9	0.8	0.8667	0.9	0.85
1	1	1	1	1
0.7143	0.8571	0.7857	0.769230769230769	0.785714285714286
0.75	1	0.8667	0.857142857142857	0.875
0.6667	1	0.875	0.8	0.833333333333333
0.7143	1	0.8824	0.833333333333333	0.857142857142857
0.875	1	0.9167	0.933333333333333	0.9375
1	0.75	0.8667	0.875	0.875
0.8571	1	0.9231	0.923076923076923	0.928571428571429
1	0.7778	0.8667	0.857142857142857	0.888888888888889
1	1	1	1	1
0.8889	0.6667	0.8	0.842105263157895	0.777777777777778
0.875	1	0.9231	0.933333333333333	0.9375
0.875	1	0.9375	0.933333333333333	0.9375
0.9	0.875	0.8889	0.9	0.8875
1	0.8571	0.9333	0.941176470588235	0.928571428571429
0.75	1	0.8333	0.857142857142857	0.875
0.875	0.8571	0.8667	0.875	0.866071428571428
1	1	1	1	1
1	1	1	1	1
1	0.5556	0.7143	0.714285714285714	0.777777777777778
1	1	1	1	1
0.9091	1	0.9474	0.952380952380952	0.954545454545455
0.875	1	0.9333	0.933333333333333	0.9375
0.8333	1	0.9231	0.909090909090909	0.916666666666667
1	0.7778	0.8667	0.857142857142857	0.888888888888889
1	1	1	1	1
0.8	1	0.9412	0.888888888888889	0.9
1	0.875	0.9286	0.923076923076923	0.9375
1	1	1	1	1
1	1	1	1	1
1	0.625	0.8	0.823529411764706	0.8125
1	0.875	0.9375	0.941176470588235	0.9375
1	0.875	0.9167	0.888888888888889	0.9375
0.8333	1	0.9167	0.909090909090909	0.916666666666667
1	1	1	1	1
1	1	1	1	1
1	0.75	0.8333	0.8	0.875
0.8	1	0.9231	0.888888888888889	0.9
0.8889	1	0.9412	0.941176470588235	0.944444444444444
1	1	1	1	1
1	0.8333	0.9167	0.923076923076923	0.916666666666667
1	1	1	1	1
0.875	1	0.9375	0.933333333333333	0.9375
0.6364	1	0.7647	0.777777777777778	0.818181818181818
1	1	1	1	1
1	1	1	1	1
0.8333	0.7778	0.8	0.769230769230769	0.805555555555556
1	0.875	0.9412	0.947368421052632	0.9375
1	1	1	1	1
1	1	1	1	1
0.875	1	0.9412	0.933333333333333	0.9375
1	1	1	1	1
0.7143	1	0.8667	0.833333333333333	0.857142857142857
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
0.8571	1	0.9231	0.923076923076923	0.928571428571429
1	1	1	1	1
0.8	1	0.8667	0.888888888888889	0.9
0.5714	1	0.8	0.727272727272727	0.785714285714286
0.875	1	0.9286	0.933333333333333	0.9375
0.8571	1	0.9286	0.923076923076923	0.928571428571429
0.875	1	0.9333	0.933333333333333	0.9375
1	0.625	0.8	0.823529411764706	0.8125
0.75	1	0.8889	0.857142857142857	0.875
0.7143	1	0.8462	0.833333333333333	0.857142857142857
0.8571	0.8571	0.8571	0.857142857142857	0.857142857142857
0.7143	1	0.8462	0.833333333333333	0.857142857142857
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
0.8	1	0.9333	0.888888888888889	0.9
1	0.9	0.9444	0.941176470588235	0.95
1	1	1	1	1
0.8571	1	0.9412	0.923076923076923	0.928571428571429
1	1	1	1	1
1	1	1	1	1
0.8889	1	0.9375	0.941176470588235	0.944444444444444
1	1	1	1	1
0.8	1	0.9286	0.888888888888889	0.9
1	1	1	1	1
0.5	1	0.7273	0.666666666666667	0.75
